Topic,Story (story.md),Technical (chapter.md),Code,Play
"Handoff from Chapter 18","Opening: some questions cannot be answered by randomized experiment. This chapter is the handoff.","Carried question from Ch 18: when do experiments stop being enough? Eighteen chapters of experiments; we still hit walls where experimentation hands the baton to causal inference.","SKIP: framing row, no code","SKIP: framing row, no play"
"Smoking causes cancer","Decades to settle, never by experiment. Doll and Hill's case-control (1950) and cohort (1956), Bradford Hill's nine criteria (1965), Surgeon General reports; Fisher's shared-genetic-cause counter took years to refute.","Loop A iconic-cases bullet: Doll and Hill (1950, 1956) plus Bradford Hill's nine criteria (1965) as the canonical non-experimental case.","SKIP: real-world historical case","SKIP: real-world historical case"
"Climate attribution","You cannot randomize the planet. Case built from observational data, climate models, paleo-records, counterfactual simulations; IPCC synthesizes into 'very likely' and 'extremely likely'.","Loop A iconic-cases bullet: observational data plus counterfactual simulations, IPCC synthesis.","SKIP: real-world case, cannot simulate","SKIP: real-world case, cannot simulate"
"College and earnings","People who go to college differ from those who do not before they start. Modern econometrics uses instrumental variables (proximity to college) and natural experiments (compulsory schooling laws) to isolate the causal effect.","Loop A iconic-cases bullet: self-selection on unobservables, econometric instruments (proximity to college, compulsory schooling).","SKIP: econometrics case, handoff to sibling repo","SKIP: econometrics case, handoff to sibling repo"
"Ethically unrandomizable interventions","Child-rearing, traumatic exposure, decades-long dietary patterns: observational, contaminated comparisons, causal structure must be reasoned about explicitly.","Loop A Ethics bullet: cannot randomly deny vaccinations, education, or basic income to a control arm.","SKIP: ethics framing, no code","SKIP: ethics framing, no play"
"Why the simulator stops helping","Away from the simulator: its feature is that I controlled the assignment. When I lose control, the same math gives wrong answers.","Loop A framing: randomization is the thing the previous chapters relied on; without it, different machinery is needed.","SKIP: framing row, no code","SKIP: framing row, no play"
"Long horizons block randomization","Story paragraph: five-year horizons lose users to attrition and environment change, so the thing measured is no longer the thing assigned.","Loop A bullet: 5+ year horizons suffer contamination, attrition, environment change; career outcomes and public-health interventions only make sense at those horizons.","SKIP: conceptual limit, not simulatable here","SKIP: conceptual limit, not simulatable here"
"Network effects break SUTVA","Story paragraph: treat one user on a social network and friends change behaviour; stability-of-treatment-value assumption breaks and the standard math quietly gives wrong answers.","Loop A bullet: treating user A changes A's friends' behaviour; SUTVA (no interference, one version of treatment) is violated; need cluster randomization, partial-interference designs, graph methods.","SKIP: handoff to sibling causal repo","SKIP: handoff to sibling causal repo"
"Observational data and one-time events","Story paragraph: one-time events (policy change, competitor pivot, pandemic) happen once, to everyone, with no untreated counterfactual.","Loop A bullets: historical logs have no random assignment; regime changes, competitor pivots, pandemics have no untreated counterfactual.","generate.render_when_experiments_fail (text-panel figure when_experiments_fail.png)","SKIP: text-panel figure, no interactive play"
"Selection bias: HRT case","HRT users had fewer cardiovascular events in observational data; RCT showed the opposite. HRT users were healthier, more affluent, more health-conscious, confounding the comparison.","Motivating example for Loop B (mirrors the dilution chapter's HRT reference).","SKIP: real-world case (HRT)","SKIP: covered by play/selection_bias.py"
"Naive observational comparison overstates effect","Selection-bias demo: scatter of propensity vs outcome for treated and control, plus bar chart 'naive vs true'. Image story/selection_bias.png. Naive diff is more than 3x the truth.","Loop B Try/Observe: 5,000 users, latent propensity, treatment ~ sigmoid(propensity), true effect +0.30, outcome = propensity + 0.30*treated + noise; naive diff approx +1.0. Image selection_bias.png.","story_generate.render_selection_bias (seed 19, n=2000); generate.render_selection_bias (seed 190, n=5000)",play/selection_bias.py
