Topic,Story (story.md),Technical (chapter.md),Code,Play
"Carry-over from A1: what is the model doing when the sampler is healthy?",SKIP: framing carryover from A1,"Framing: diagnostics are green, now understand hierarchical pooling itself.",SKIP: framing row no code,SKIP: framing row no artifact
"The partial-pooling idea in one paragraph","Per-segment effects come from a population distribution; small noisy segments should be pulled toward the population center.",Implicit motivation for Loops A-C.,SKIP: conceptual intro no code,SKIP: conceptual intro no artifact
"Stein paradox as historical anchor","Charles Stein, 1956: shrinking three or more means toward the grand mean is uniformly better than estimating each independently.",Not covered (story-only real-world stage).,SKIP: Stein historical anchor story only,SKIP: Stein historical anchor story only
"Real-world hierarchical settings","Education (per-school effects), sports (pitcher ERA after 50 vs 500 innings), genomics (thousands of variants).",Not covered (story-only real-world stage).,SKIP: real-world examples story only,SKIP: real-world examples story only
"Naive vs hierarchical with 50 cities","A/B test across 50 cities: per-city z-test inflates false-alarm rate; hierarchical model jointly learns mu, tau, per-city effects.",Motivates the three-estimator comparison in Loop A.,SKIP: motivation row no code,SKIP: motivation row no artifact
"Eight-segment A/B simulator","Imagine cities with a true population Normal(mu, tau) and mixed sample sizes.","Loop A Try: eight synthetic segments, true effects ~ Normal(0.05, 0.04), half at ~800/arm, half at ~80/arm.",generate.simulate_segments (seed 101),SKIP: simulator code no standalone artifact
"No pooling estimator","Eight tiny A/B tests, eight numbers: small segments get wildly wrong point estimates reported with a straight face.","Loop A Try: per-segment independent two-proportion estimate.",generate.render_three_pooling_modes (indep block; seed 101),SKIP: artifact is three_pooling_modes.png row 11
"Complete pooling estimator","Add everything up into one global lift: sharp, but the same number for every segment, so wrong for any segment that differs from the population average.","Loop A Try: one global pooled two-proportion lift (~+0.04 in this realization).",generate.render_three_pooling_modes (pooled block),SKIP: artifact is three_pooling_modes.png row 11
"Partial pooling hierarchical model","Declare that per-segment effects come from Normal(mu, tau) and fit mu, tau, and per-segment effects jointly.","Loop A Try: effect_i ~ Normal(mu, tau), tau ~ HalfNormal, non-centered; fit in PyMC.",generate.fit_hierarchical (seed 2002),SKIP: fit function no direct artifact
"Small segments shrink, large segments don't","Small-N segments pulled toward pop mean, large-N segments stay put. Image story/shrinkage_illustration.png.","Loop A Observe: one small segment with true +0.05 shows empirical -0.04; partial-pool posterior pulled hard toward pop mean. Image three_pooling_modes.png.","story_generate.render_shrinkage_illustration (seed 42); generate.render_three_pooling_modes",SKIP: artifacts listed in Code column
"Partial pooling is the right estimator, not a compromise","Partial pooling matches the actual data-generating process; it is not a middle-ground kludge but the honest estimator.","Loop A Hunch: matches the actual data-generating process; weights small segments by their information content.",SKIP: hunch row no artifact,SKIP: hunch row no artifact
"Three tau scenarios: nearly identical, moderate, wildly different","Tau is the dial that says how different the segments really are; tiny tau means glue everything to the population mean, large tau means barely pool at all.","Loop B Try: tau_true = 0.005, 0.04, 0.15; same hierarchical model, same HalfNormal(0.1) prior on tau, K=8 segments of size 400.",generate.render_tau_learned (seeds 1010/2020/3030),SKIP: artifact is tau_learned.png row 15
"Shrinkage factor on the logit scale","Shrinkage is a quantity I can read off the posterior: how far each segment got pulled from its own data toward the population mean.","Loop B Try: shrinkage_i = (independent_i - posterior_mean_i) / (independent_i - mu_posterior_mean).",generate.render_tau_learned,SKIP: artifact is tau_learned.png row 15
"Posterior on tau tracks the truth","When segments are identical, the posterior on tau lands near zero and pooling is heavy. When segments really differ, tau lands away from zero and pooling is light.","Loop B Observe: posterior on tau concentrates near 0, 0.04, 0.15 respectively; average shrinkage ~1, ~0.4, <0.1. Image tau_learned.png.",generate.render_tau_learned,SKIP: artifact referenced in Technical column
"Pooling strength is learned, not chosen","Tau is learned, not set. I do not pick the pooling strength; the data tells me what it should be.","Loop B Hunch: tau is a posterior quantity; the analyst picks the prior on tau, everything else falls out.",SKIP: hunch row no artifact,SKIP: hunch row no artifact
"Prior on tau matters when N is small","With lots of data the prior on tau is essentially irrelevant. With little data it is the strongest lever in the room.","Loop C Try: same tau_true=0.04 data but half sample size (small segments = 40/arm); compare HalfNormal(0.05) vs HalfNormal(0.5) prior on tau.",generate.render_prior_on_tau (seed 404),SKIP: artifact is prior_on_tau.png row 19
"Weak data cannot distinguish tau=0 from tau=0.04","Same data, different priors, different pictures. In thin-data regimes the prior has to be defended explicitly.","Loop C Observe: posterior on tau spreads out under weak data.",generate.render_prior_on_tau,SKIP: artifact is prior_on_tau.png row 19
"Tight prior collapses toward pop mean, wide prior keeps no-pool shape","A tight HalfNormal regularizes hard toward 'segments are all the same'. A wide HalfNormal keeps the per-segment estimates but with wider credible intervals.","Loop C Observe: HalfNormal(0.05) pulls tau toward zero; HalfNormal(0.5) keeps broad posterior, wider per-segment credible intervals. Image prior_on_tau.png.",generate.render_prior_on_tau,SKIP: artifact referenced in Technical column
"Prior on tau is an act of belief about segment heterogeneity","Cost of hierarchical modeling: tighter prior on tau forces heavier shrinkage; weakly-informative defaults work well in practice.","Loop C Hunch: with strong data the prior is irrelevant; with weak data it is the analyst's strongest lever and must be defended.",SKIP: hunch row no artifact,SKIP: hunch row no artifact
"Frequentist cousin: random-effects / mixed-effects models","Frequentist version gets to the same place by different routes; structure is recognizable.",Not explicitly covered in the loops.,SKIP: frequentist aside no code,SKIP: frequentist aside no artifact
"Play: watch shrinkage respond to N",SKIP: play row no story content,SKIP: play row no technical content,play.shrinkage_demo main loop (N_SEGMENTS=10, POP_MEAN=0.05, POP_STD=0.04),play/shrinkage_demo.py
"Thread-closer: pulling the book's Bayesian threads together","Bayes introduced in Ch 6, generalized through Ch 7-15, landed here as the answer to multi-segment / multi-site problems.",SKIP: thread-closer story only,SKIP: thread-closer no code,SKIP: thread-closer no artifact
"Hand-off: when segments themselves have structure",SKIP: hand-off technical only,"Big-question: nested groupings (cities within countries), covariance-based structures (GPs over features); pointers to Gelman et al. and Gelman & Hill.",SKIP: hand-off no code,SKIP: hand-off no artifact
