Topic,Story (story.md),Technical (chapter.md),Code,Play
"From two outcomes to many","Opening: coins have two faces, but real problems (dice, votes, QC inspections, jury verdicts, medical categories) have more. The framework needs to generalize.","Carried from Ch 6: two outcomes was cramped; six gives more interesting failure modes including multiple comparisons.","SKIP: framing row, no artifact","SKIP: framing row, no artifact"
"The recipe still works","Prior times likelihood, normalized, is indifferent to the number of categories; Dirichlet replaces Beta for many-category priors.","Loop C preamble: the Beta-binomial of Ch 1-5 generalizes naturally to Dirichlet-multinomial with K outcomes.","SKIP: conceptual preamble, no artifact","SKIP: conceptual preamble, no artifact"
"Real-world stakes for many outcomes","Casino backroom die test, GWAS with tens of thousands of markers, pharmacovigilance drug-event pairs, bug-tracker metrics — all hit the same joint false-alarm headache.",Implicit motivation for Loop D.,"SKIP: motivation row, no code artifact","SKIP: motivation row, no play script"
"Fair-die face counts wobble at three sample sizes","Three panels at N=60, 600, 6000 of a fair die; counts wobble large then settle into a tight band within 1-2% of N/6. Image story/face_counts_wobble.png.","Loop A Try/Observe: same three N; at N=60 some faces show 7, others 14; at N=600 all in 80-120; at N=6000 within 1-2% of 1000. Image count_wobble.png.","story_generate.render_face_counts_wobble (seed 72); generate.render_count_wobble (SEEDS['fair']=70 offset by N)",play/face_counts_wobble.py
"Multidimensional law of large numbers","Same story as the coin: more data, less wobble; wobble per face shrinks like 1/sqrt(N).","Loop A Hunch: regression-to-mean across six categories; variance per face approximately N*(1/6)*(5/6).","SKIP: hunch row, no artifact","SKIP: visualized by play/face_counts_wobble.py"
"Faces are not independent","Counts sum to N, so if one face lands high another must land low — a subtlety that did not exist for coins.","Loop A Hunch subtlety: cov(c_i, c_j) = -N*p_i*p_j for i != j; negative covariance reappears in Loop D.","SKIP: analytical note, no artifact","SKIP: analytical note, no play script"
"Naive per-face testing inflates the false-alarm rate","If I run the surprise rule from Ch 2 on each face independently at 5%, how often does a fair die get flagged?","Loop D Try: test each face with binomial H0: p=1/6 at alpha=0.05; run 1000 times on simulated fair dice.","SKIP: setup row, covered by row 9","SKIP: covered by play/multiple_comparisons.py"
"The combined false-alarm rate lands near 23%","Naive procedure flags fair dice about 23% of the time — the 5% promise violated by roughly a factor of four. Image story/multiple_comparisons_trap.png.","Loop D Observe (seed 72, n_trials=1000): at least one face falsely flagged 22.5% of the time. Image multiple_comparisons.png.","story_generate.render_multiple_comparisons_trap (seed 72); generate.render_multiple_comparisons (SEEDS['monte_carlo']=72)",play/multiple_comparisons.py
"Bonferroni correction pulls it back under 5%","Test each face at 0.05/6 ≈ 0.83%; combined false-alarm rate drops to about 4%. Named for Carlo Bonferroni, 1936.","Loop D Observe: Bonferroni-corrected 3.9% in the same simulation, comfortably under the nominal 5% bound.",generate.render_multiple_comparisons (computes both naive and Bonferroni bars),"SKIP: covered by play/multiple_comparisons.py"
"Bonferroni is conservative","At 100 tests, 0.05/100 kills power; smarter alternatives (Holm step-down, Benjamini-Hochberg FDR) exist for heavier test counts.","Loop D Probe: Holm still controls FWER but uniformly more powerful than Bonferroni; BH controls expected false discovery fraction. Library exposes expkit.inference.multitest.bonferroni/holm/benjamini_hochberg. Ch 11's Loop C.5 demonstrates Holm and BH alongside Cochran-Mantel-Haenszel.","SKIP: forward-ref to Ch 11, no figure here","SKIP: Holm and BH demonstrated in Ch 11"
