Topic,Story (story.md),Technical (chapter.md),Code,Play
"Assignment vs actual treatment","Opening question carried from Ch 14: who actually receives the treatment in a real trial? The gap between assignment and delivery matters.","Chapter framing: most users never see the change; mixing them in dilutes the effect.","SKIP: framing row","SKIP: framing row"
"COVID vaccine trials: ITT is the headline","ITT counts every participant in their assigned arm regardless of completion; dilutes apparent effect but answers the right public-health question.","SKIP: real-world vignette, story-only","SKIP: real-world vignette, story-only","SKIP: real-world vignette, story-only"
"Drug compliance: 30-50% stop within six months","Chronic-medication non-compliance example; ITT includes non-compliers, per-protocol excludes them. Different numbers, different questions.","Motivates Loop A framing that ITT and per-protocol answer different estimands.","SKIP: motivating vignette, no code","SKIP: motivating vignette, no code"
"HRT observational vs WHI randomized","1990s observational HRT data (health-conscious users) vs 2002 WHI RCT that found increased cardiovascular events. Randomization tests the prescription, not user behavior.","SKIP: real-world vignette, story-only","SKIP: real-world vignette, story-only","SKIP: real-world vignette, story-only"
"Settings-page A/B test setup","30% of users visit settings; treatment helps visitors by 10pp; non-visitors unaffected. ITT lands near 3pp, per-protocol near 10pp.","Loop A Try: 20,000 users 50/50, 12% visit rate, +10pp among visitors. Exposure-rate equals visit-rate, the fraction that actually got the treatment.",generate.render_itt_vs_per_protocol (seed 150) via expkit.sim.dilution.settings_page_experiment,play/compliance_simulator.py
"ITT vs per-protocol point estimates",Story bar chart at 70% compliance showing ITT diluted vs per-protocol recovering ~+10pp. Image story/itt_vs_per_protocol.png.,"Loop A Observe: ITT diff -0.0039 (SE 0.0057) vs per-protocol +0.0826 (SE 0.018). Image itt_vs_per_protocol.png.","story_generate.render_itt_vs_per_protocol (seed 15, compliance 0.70); generate.render_itt_vs_per_protocol (seed 150)",play/compliance_simulator.py
"Why ITT is smaller than per-protocol","Story line 19: ITT arithmetic 30% of 10pp = ~3pp stated directly.","Loop A Observe arithmetic: +0.10 averaged over 12% visitors and 88% non-visitors gives ~+0.012 population mean.","SKIP: arithmetic argument, no code","SKIP: arithmetic argument, no code"
"ITT and per-protocol are different estimands","Two analyses answer different questions: rollout effect vs mechanism effect. Both honest; conflating is the trap.","Loop A Hunch: ITT is the effect of being in the treatment group regardless of compliance; per-protocol hinges on compliance being independent of potential outcomes.","SKIP: conceptual distinction, no code","SKIP: covered by compliance_simulator.py"
"Per-protocol contamination from selection","Treatment-arm visitors vs control-arm visitors are different populations if assignment changes visiting (notification nudge). The contrast is contaminated.","Loop B Hunch concrete example: motivated users are both more likely to visit and more likely to convert, so per-protocol overstates the among-compliers effect.","SKIP: conceptual point, no dedicated code","SKIP: covered by compliance_simulator.py"
"Regulatory lean toward ITT","Most agencies require ITT as the primary analysis for the rollout question.","SKIP: policy aside, story-only","SKIP: policy aside, no code","SKIP: policy aside, no play"
"Compliance sweep: ITT shrinks with non-compliance",Story line plot of ITT effect vs compliance rate from 20% to 100%. Image story/compliance_sweep.png.,"Loop B dilution sweep (row 13) is the technical-side analogue, with per-protocol band added.",story_generate.render_compliance_sweep (seed 15),"SKIP: sweep is a rendered figure, no play"
"Dilution sweep: ITT scales linearly with visit rate",Row 12 compliance sweep is the story-side analogue; dilution_sweep with per-protocol band is technical-only.,"Loop B Try/Observe: sweep visit prob 0.02 to 0.95 with 20 reps each. ITT scales roughly linearly; per-protocol stays near +10pp with wide CI at low visit rates. Image dilution_sweep.png.",generate.render_dilution_sweep (rng seed 0; 30 visit probs, 20 reps, 8000 users),"SKIP: covered by compliance_simulator.py"
"Linearity caveat and CACE","Story hints at rescaling but doesn't formalize.","Loop B Hunch: ""rescale by 1/compliance"" recovers CACE only when per-visitor effect is constant across compliance types; otherwise the ratio gives CACE not ATT, and linearity is an approximation.","SKIP: conceptual caveat, no code","SKIP: conceptual caveat, no play"
"CACE identifying conditions","SKIP: formalism not in story",Loop B CACE list: random assignment, monotonicity (no defiers), exclusion restriction, SUTVA, non-zero first stage. Wald/IV estimator is ITT divided by compliance.,"SKIP: assumptions list, no code","SKIP: assumptions list, no play"
"Exclusion restriction and banner pitfall","SKIP: formalism not in story","Loop B CACE: a banner shown to the treatment arm that nudges non-clickers violates exclusion; common software-experiment pitfall.","SKIP: conceptual pitfall, no code","SKIP: conceptual pitfall, no play"
"Ratio metrics: revenue per session","Real-world aside: ratio-shaped metrics have non-trivial SE; delta method is the standard tool. Mean-of-ratios vs ratio-of-means can disagree.","Loop C Try: both numerator (revenue) and denominator (sessions) are random. Naive sum-ratio has no honest SE.",generate.render_ratio_metric (rng seed 0) via expkit.metrics.delta.delta_two_arm,play/ratio_metric_explorer.py
"Delta method vs naive ratio diff","SKIP: formalism not in story","Loop C Observe: with per-session revenue up 0.05, delta gives diff = +0.0495, se = 0.013, z = 3.84. Naive matches point but offers no inference. Image ratio_metric.png.","generate.render_ratio_metric (rng seed 0, n=3000) via expkit.metrics.delta.delta_two_arm",play/ratio_metric_explorer.py
"Delta-method Taylor derivation","SKIP: derivation not in story","Loop C ""Where the formula comes from"": first-order Taylor of X/Y around (mu_X, mu_Y); Var(R) approx Var(X)/mu_Y^2 + mu_X^2 Var(Y)/mu_Y^4 - 2 mu_X Cov(X,Y)/mu_Y^3. Implementation in expkit.metrics.delta.",expkit.metrics.delta.ratio_mean_and_var,"SKIP: derivation, no play"
"Regularity and fallback to bootstrap","SKIP: formalism not in story","Loop C: mu_Y bounded from zero, finite second moments, n large. Heavy tails or near-zero denominators: fall back to paired bootstrap.","SKIP: conditions list, no code","SKIP: conditions list, no play"
"Ratio metrics ubiquity","SKIP: aside within technical loop","Loop C Hunch: most online metrics are ratios (revenue per user, clicks per session); naive z-tests are systematically wrong on SE.","SKIP: conceptual point, no code","SKIP: covered by ratio_metric_explorer.py"
