Topic,Story (story.md),Technical (chapter.md),Code,Play
"When the computer is doing the math, how do I know it is right?","Opening frame: most Bayesian results came out of simulations; samplers can fail and return histograms that look right but are not.","Appendix framing carried from Chapter 6: the single-parameter coin trace looked perfect because it was the easy case; real work needs diagnostics like bloodwork.",SKIP: framing row,SKIP: framing row
"Real-world stakes: a 2014 psychology reanalysis","2014 hierarchical psychology paper: MCMC had not converged; reanalysis with a corrected sampler gave different numbers. Error was in the implementation, not the model.",SKIP: historical anecdote lives in story,SKIP: not a code concept,SKIP: not a play concept
"Framework vs implementation","Bayesian framework is rigorous; implementation has gotchas. Diagnostics are the line between 'reliable' and 'looks reliable'.","Closing hunch of Loop C restates this layered view: R-hat, ESS, and divergences each catch a different kind of implementation failure.",SKIP: philosophy row,SKIP: philosophy row
"Why MCMC can fail","Chains approximate the posterior via a Markov chain that is only guaranteed to converge asymptotically; finite runs can drift, have segment-dependent shape, or miss parts of the distribution.","Motivates all three Loops; Loop B makes the failure concrete on Neal's funnel.",SKIP: motivation; concrete code in Rows 6-15,SKIP: motivation
"Fit Chapter 6's coin model as a baseline",SKIP: appendix-technical; story covered this in Ch 6,"Loop A Try: 200 tosses of p=0.55, Beta(1,1) prior, 4 chains x 2000 draws + 1000 tune. Save InferenceData and read the four default diagnostics.",generate.render_healthy_chains (seed 7 for data; sampler seed 606),SKIP: served by play/mcmc_health_check.py at Row 22
"Healthy trace: R-hat, ESS, divergences",SKIP: diagnostic numbers are technical,"Loop A Observe: R-hat = 1.000, ESS ~ 6000 out of 8000 raw, 0 divergences, autocorrelation drops by lag 5. Image healthy_chains.png.",generate.render_healthy_chains,SKIP: served by play/mcmc_health_check.py
"Healthy vs unhealthy trace side by side","Trace plots explained: a healthy chain looks like a fuzzy caterpillar; an unhealthy one sticks, drifts, or separates. Image story/good_vs_bad_trace.png.",Loop A Observe notes the same fuzzy-caterpillar idea and absence of drift/clumps in the coin trace.,story_generate.render_good_vs_bad_trace (seed 606),SKIP: static figure; play served by mcmc_health_check.py
"On easy problems the sampler is invisible",SKIP: meta-observation,"Loop A Hunch: on a well-conditioned problem you write the model, sample, summarize; diagnostics confirm there is nothing to see. The rest of the appendix is the cases where there is.",SKIP: no new artifact,SKIP: no new artifact
"R-hat: what it measures","Potential scale reduction factor. Near 1.0 (below 1.01 or 1.05) is good; above 1.1 is a warning.","Loop A Observe defines R-hat as between-chain vs within-chain variance; Loop C Observe sets the concern threshold at > 1.01.",SKIP: definition; demo in render_healthy_chains,SKIP: served by mcmc_health_check.py
"ESS: effectively independent draws","If 4000 draws are highly autocorrelated, ESS might be 200; that is the variance-equivalent count. Hundreds is usually fine; under 100 is a warning.","Loop A Observe reports ESS ~ 6000 / 8000; Loop C Observe: concern when ESS for a reported quantity is under a few hundred; fix by drawing more or reparameterizing.",SKIP: definition; demo in render_rhat_ess_curves,SKIP: served by mcmc_health_check.py
"Divergences in HMC / NUTS","Small numbers are usually fine; many divergences flag difficult geometry.","Loop A Observe: a divergence means the trajectory ran off the posterior curve because step size could not adapt. Loop C Observe: any positive count is a concern for a model you trust; first fix is target_accept=0.95.",SKIP: definition; demo in render_funnel,SKIP: served by mcmc_health_check.py
"Neal's funnel: the classic bad geometry",SKIP: technical-heavy geometric concept,"Loop B Try: hierarchical model theta_i = mu + tau * z_i with z_i ~ Normal(0,1) and tau ~ HalfNormal(1). Joint posterior on (tau, z_i) is an inverted funnel: wide mouth at large tau, pinched neck at small tau.",generate.render_funnel (sampler seed 11; 8 latent groups; no data, prior funnel only),SKIP: funnel fit is slow; figure suffices
"Centered vs non-centered parameterization",SKIP: technical-heavy reparameterization,"Loop B Try: same model written two ways: theta_i ~ Normal(mu, tau) vs theta_i = mu + tau * z_i with z_i standardized.",generate.render_funnel fits both forms in one call,SKIP: covered by render_funnel figure
"Centered run fails, non-centered run passes",SKIP: numerical observation,"Loop B Observe: centered finishes with 60-200 divergences, R-hat > 1.05 on tau, ESS ~ 200; non-centered gives 0-3 divergences, R-hat 1.00, ESS ~ 5000 on tau. Image funnel_centered_vs_noncentered.png.",generate.render_funnel reports div / rhat_tau / ess_tau for both forms,SKIP: funnel fit is slow; figure suffices
"Why non-centering fixes HMC geometry",SKIP: interpretation,"Loop B Hunch: the problem is geometry, not the model. Non-centering keeps every latent at unit scale so one step size works everywhere. Rule: hierarchical scale + weak data => write latents non-centered. Same pattern used in Ch 11 Loop D.",SKIP: no new artifact beyond render_funnel,SKIP: no new artifact
"Diagnostics as a checklist in practice",SKIP: checklist is conceptual,"Loop C Try: for each diagnostic list the threshold, the typical fix, and one place in the book it has shown up.",SKIP: table-style content,SKIP: served by mcmc_health_check.py
"R-hat and ESS vs run length",SKIP: technical sweep,"Loop C supporting sweep: refit the coin model at 200/400/800/1500/3000 post-tuning draws per chain; R-hat shrinks toward 1, ESS grows roughly linearly with draws. Image rhat_ess_curves.png.",generate.render_rhat_ess_curves (data seed 303; sampler seeds 606+d),SKIP: covered by mcmc_health_check.py (change N_DRAWS)
"Trace / rank plots for multimodality",SKIP: brief observation,"Loop C Observe: the eye is still the best detector for chains stuck in different modes; R-hat will flag it but the trace plot explains what is happening.",SKIP: story figure good_vs_bad_trace.png already illustrates,SKIP: no new artifact
"Reparameterize, tune longer, or accept the limit","Fixes listed: reparameterize (centered -> non-centered), longer warmup, tighter priors, simpler models, or move to variational inference for very high-dimensional cases.","Loop C Observe prescribes the same fixes per diagnostic: more warmup, non-centering, target_accept=0.95, more draws.",SKIP: summary of fixes,SKIP: no new artifact
"Diagnostics are layered",SKIP: synthesis row,"Loop C Hunch: passing R-hat but failing ESS = converged but noisy. Failing R-hat with zero divergences = not run long enough or hostile parameterization. Passing everything except a near-zero divergence count = quiet warning geometry will bite on slightly different data.",SKIP: no new artifact,SKIP: no new artifact
"Run the diagnostics, then sanity-check by hand",SKIP: the play is the sanity check,SKIP: advice realized in the play script,SKIP: no new artifact,play/mcmc_health_check.py
"Practical takeaway: don't trust an undiagnosed posterior","Print diagnostics for every model; PyMC's summary makes it easy. Don't trust a posterior you have not diagnosed.","Appendix's practical-advice line, echoed in Loop A Hunch and Loop C Hunch.",SKIP: closing advice,SKIP: closing advice
"Hand-off: priors that regularize without pretending","No forward question for an appendix; the book ends at Ch 19. Appendix is a tool for rigorous use of the machinery.","Closing section points forward to Appendix A2 (hierarchical companion) for prior choices on population-level tau and mu.",SKIP: pointer to A2,SKIP: pointer to A2
