Topic,Story (story.md),Technical (chapter.md),Code,Play
"Capstone question: do the two lenses ship differently?","Opening frame: after parallel lenses all book, would they produce different ship/no-ship calls? On which cases? At what cost?","Carried from Ch 17: seventeen chapters of two-lens analysis, now we put both rules on the same 2,000 experiments and count.",SKIP: framing row no code,SKIP: framing row no play
"Real-world hybrid practice","Microsoft ExP (2017): Bayesian and frequentist agreed on ~95% of A/B decisions. Booking.com mixes the two by context. FDA/EMA accept Bayesian for rare-disease and adaptive trials, still require frequentist primary for most phase 3.",Not covered (story-only real-world framing).,SKIP: narrative context no code,SKIP: narrative context no play
"Framework choice is operational, not theological","Each org picks a lens based on data shape, cost of error, and audit trail, not ideology.",Chapter framing: which rule a team writes down depends on what kind of call it is.,SKIP: framing row no code,SKIP: framing row no play
"The two decision rules in the wild","Frequentist: ship if p < 0.05 and point estimate > 0. Bayesian: ship if P(lift > MMU) > 0.95.","Loop A Try: same two rules, with MMU = 0.5pp drawn from Ch 8's minimum meaningful uplift.",generate.run_simulator (seed 180),play/shipping_decision.py
"Apples-to-apples caveat: MMU gate asymmetry","Story note: the two rules as teams write them aren't structurally matched; a matched frequentist rule (point estimate > MMU) shrinks the borderline gap, showing most disagreement is the gate, not the lens.","Loop A note: wild rules aren't structurally matched (F has no meaningfulness gate, B does). Simulator also records a matched F rule, ship if p < 0.05 AND point estimate > MMU, to separate lens effect from MMU effect.",generate.run_simulator records f_ship_matched alongside f_ship,SKIP: caveat covered by main play
"Population of true effects drives the numbers","Story note: bell-shaped population of true effects centered at zero drives the numbers; heavy-tailed, skewed, or mostly-zero populations would shift the sharpness of the verdicts.","Loop A Population caveat: true_diff drawn from Normal(0, 1pp). ~38% of mass within ±MMU and ~95% within ±2pp. Heavy-tailed or skewed populations would shift the trade-offs.",generate.run_simulator draws true_diff from rng.normal(0, 0.01),SKIP: population caveat no play
"1,000 simulated A/B tests, both rules in parallel","Thought experiment: a thousand tests with varied true effects, two rules applied to each.","Loop A Try: 2,000 synthetic tests, 2,000 users per arm, both rules recorded per test.",generate.run_simulator (n_runs=2000, n_per_arm=2000),SKIP: simulator setup covered by play/shipping_decision.py
"Ship rate by true effect","Story Fig 1 left panel: shipping rates by true effect — lines cross at the meaningful threshold. Image story/framework_agreement.png.","Loop A Observe: at truth=0, F ships ~2.5%, B ~1%. At truth=MMU, F ~25%, B ~5%. At truth=2pp+, both ~60% (upper bin is only 45 runs, Wilson CI ~0.45–0.74). Image ship_by_truth.png.","story_generate.render_framework_agreement (seed 18, 500 trials per effect). generate.render_decision_by_truth (seed 180)",SKIP: static figure no interactive play
"Disagreement lives in the murky middle","Two rules agree on obvious nulls and obvious wins. Gap is concentrated where effects are real but small.","Loop A Hunch: matched F rule (point estimate > MMU) shrinks the murky-middle gap visibly, confirming most disagreement is the MMU gate, not the lens.",SKIP: interpretive hunch no code,SKIP: interpretive hunch no play
"Agreement rate as a function of effect size","Story Fig 1 right panel: fraction of experiments where both rules agree, relative to a 90% reference line.",Not covered as a dedicated panel in the tech track.,story_generate.render_framework_agreement (agree_rate curve with reference_line at 0.9),SKIP: static figure no interactive play
"Confusion matrix of the two decisions","Story note: laying the two decisions in a two-by-two table fills almost the whole table on the diagonals; off-diagonals are thin and asymmetric, with F-ship / B-no-ship far more common than the reverse.","Loop B Try + Observe: cross-tab (F, B) ships over 2,000 runs. Most decisions agree (~98.5%); most disagreements are F-ships / B-no-ships; F-no-ship / B-ship is rare. Image confusion_matrix.png.",generate.render_confusion_matrix,SKIP: static figure no interactive play
"Bayesian rule ≈ frequentist rule + meaningfulness gate",SKIP: technical hunch chapter.md only,"Loop B Hunch: B is roughly F plus an MMU gate, the matched-rule comparison from Loop A makes that explicit.",SKIP: interpretive hunch no code,SKIP: interpretive hunch no play
