Topic,Story (story.md),Technical (chapter.md),Code,Play
"Carry-over question from Ch 4","Opening: tests answer yes-or-no on one value, but I usually want a range of plausible biases.","Carried from Chapter 4: tests rule out one value; intervals invert the question — what set can I NOT rule out?","SKIP: framing row, no code artifact.","SKIP: framing row, no play artifact."
"Test-interval duality","Stated plainly: for every test there is a set of values the test fails to reject, and that set is the confidence interval.","Framing: intervals are the dual of tests. If a test rejects 0.5, then 0.5 is outside the interval; if it fails to reject, 0.5 is inside.","SKIP: conceptual duality, no artifact.","SKIP: conceptual duality, no play artifact."
"Intervals in the wild","Polling margin of error (53±3), BLS unemployment 3.7% ±0.2, drug survival 2.1 months CI 0.4–3.8. Readers round to the headline and lose the band.",Not covered (story-only motivation).,"SKIP: real-world hook, story-only.","SKIP: real-world hook, story-only."
"Wald / simple bell-curve interval defined","Falls out of treating the binomial as normal: p̂ ± 1.96·SE. For 60/100 gives 0.504–0.696. Named after Abraham Wald (1940s).",Loop A Try lists Wald as one of five methods alongside Wilson, Clopper-Pearson, percentile bootstrap, Bayesian.,"story_generate.wald_ci helper; generate uses statsmodels proportion_confint method=""normal"".","SKIP: covered by play/interval_calculator.py."
"Four procedures on three observations","Three panels at 6/10, 60/100, 600/1000 showing four stacked intervals each. Image story/intervals_at_observations.png.","Loop A Try+Observe: five methods at the same three sample sizes; 6/10 spread [0.30,0.90]→[0.32,0.81]; 60/100 all ≈[0.50,0.69]; 600/1000 all ≈[0.57,0.63]. Image ci_method_comparison.png.",story_generate.render_intervals_at_observations; generate.render_method_comparison,play/interval_calculator.py
"Procedure choice matters most at small N","At 6/10 the four intervals visibly disagree; at 600/1000 they are indistinguishable. Data dominates the choice of method eventually.","Loop A Hunch: at moderate-to-large N the method does not matter; at small N or extremes the bad ones get embarrassingly wrong.","SKIP: hunch drawn from prior row, no new code.","SKIP: explorable via play/interval_calculator.py."
"Wilson / shrunken-centre interval","Wilson (1927). Pulls the centre toward 0.5 by an amount that depends on N. Significant at 10 tosses, invisible at 10000.","Loop A lists Wilson; Loop B rule of thumb: Wilson is a good default.","story_generate.wilson_ci helper; generate imports expkit.inference.binomial.wilson_ci.","SKIP: covered by play/interval_calculator.py."
"Clopper-Pearson / guaranteed-coverage interval","Clopper-Pearson (1934). Uses the binomial directly, no bell-curve approximation. Exact but conservative — slightly wider than needed.","Loop A lists Clopper-Pearson; Loop B rule of thumb: safe but conservative.","story_generate.clopper_pearson_ci helper; generate imports expkit.inference.binomial.clopper_pearson_ci.","SKIP: covered by play/interval_calculator.py."
"Percentile bootstrap","Short aside: fifth procedure, resample the observed tosses, use middle 95 percent of the resampled fractions. On 60/100 it lands near the others. Noted as a later-chapters tool (Ch 8, 13, 16).","Loop A Try lists percentile bootstrap. Side note: benign on symmetric data but biased on skewed sampling distributions and near 0 or 1; BCa variant exists. Will reuse in Ch 8, 13, 16.","generate.render_method_comparison calls expkit.inference.bootstrap.bootstrap_ci (n_boot=4000, seed=42).","SKIP: bootstrap deferred to Ch 8 play."
"Bayesian credible interval defined","Belief-curve interval: take the posterior over biases, slice off the middle 95%, read the edges. Numerically close to the others but conceptually different.","Loop A lists Bayesian (Beta(1,1) prior). Intro note contrasts frequentist ""procedure wraps truth 95% of runs"" with Bayesian ""p falls in [lo,hi] with posterior probability 0.95"".","story_generate.bayesian_ci helper; generate.render_method_comparison uses scipy.stats.beta.ppf on Beta(1+k, 1+n-k).","SKIP: covered by play/prior_playground.py."
