Topic,Story (story.md),Technical (chapter.md),Code,Play
"Why new things look great at first","Opening framing: the lift on day one fades; the pattern is common enough to have a name — novelty effects.","Carried from Ch 13: the lie evolves over time. The most famous form: novelty.","SKIP: framing row","SKIP: framing row"
"January gym, new-song rotation, redesigned homepage",Three everyday scenarios where a spike fades to baseline within weeks.,Not covered (story-only real-world hooks).,"SKIP: real-world hook, story-only","SKIP: real-world hook, story-only"
"iPhone launch obsession","2007 iPhone release: small fraction of users obsessed for weeks, stabilizes into normal use by month six.",Not covered (story-only real-world hook).,"SKIP: real-world hook, story-only","SKIP: real-world hook, story-only"
"Novelty lifecycle: fast-rise click vs slow-building retention damage","Click-rate lift spikes and decays fast; retention change builds slowly; revenue crosses zero around day 35. Image story/novelty_lifecycle.png.",Not covered directly in this form.,story_generate.render_novelty_lifecycle (closed-form curves),play/lifecycle_horizons.py
"A/B test with zero true long-run effect","Hypothetical: new feature genuinely changes nothing; users click around out of curiosity; metric spikes then returns to baseline.","Loop A Try: simulate treatment with true long-run lift = 0, +6pp initial lift, 5-day half-life, 40 days, 2,000 users.","generate.render_three_views uses expkit.sim.novelty.novelty_event_log (seed 140)",play/novelty_curve.py
"7-day test catches the spike, ship happens anyway",The typical 7-day A/B test catches the lift; team ships; two months later the lift is gone but has been written in as a win.,Implicit motivation for Loops A/B on measurement-window choice.,"SKIP: motivational narrative","SKIP: covered by play/novelty_curve.py"
"Three standard fixes: longer horizon, user-level curves, holdouts",Story enumerates the three tools programs use: extend the window, look at per-user engagement vs days-since-first-exposure, long-running holdout groups.,Setup for Loop A's three aggregation axes and Loop C's shape catalogue.,"SKIP: framing for Loop A","SKIP: framing for Loop A"
"Mature programs use all three; corners get cut",Running long horizons with holdouts is costly; the corners that get cut are exactly where novelty effects hide.,Not covered (story-only commentary on org cost).,"SKIP: organizational commentary","SKIP: organizational commentary"
"Same event log, three aggregation axes","Illustrative: same 500-user/60-day log read three ways gives three different pictures of decay. Image story/three_measurement_schemes.png.","Loop A Try: read the same event log by calendar day, by per-user days-since-first-exposure, and by per-user exposure count.","story_generate.render_three_measurement_schemes (seed 14); generate.render_three_views (seed 140)","SKIP: figure-driven in generate.py"
"Calendar-day view fades by day ~20","SKIP: technical observation","Loop A Observe: treatment lift visible early, fades by day ~20 because most treatment users have had time to habituate; curves cross by day 40. Image three_views.png (left panel).",generate.render_three_views uses expkit.novelty.measure.by_calendar_day,"SKIP: panel of three_views figure"
