Topic,Story (story.md),Technical (chapter.md),Code,Play
"Parts and whole disagree — is that possible?","Opening: subgroups can all move positive while aggregate moves negative (or vice versa). Named Simpson's paradox (1951), has a long history and a famous court case.","Chapter framing carried from Ch 11: under what conditions do parts and whole disagree? Make it concrete.",SKIP: framing only, no simulator artefact,SKIP: framing only, no interactive exploration
"Berkeley 1973 graduate admissions","Real-world hook: 44% men admitted vs 35% women in aggregate; Bickel/Hammel/O'Connell 1975 re-examined per-department and found women admitted at same or higher rate. Lawsuit lost.",Referenced as the canonical real-world case; formalized in Loop E.,SKIP: prose hook (synthetic Berkeley numbers are in Loop E row 18),SKIP: covered by paradox_builder via Loop E
"Kidney stone treatments","Real-world hook: treatment A better for small stones, better for large stones, yet aggregate says B is better. Patient-mix confounding (A preferred for sicker cases).",Not covered (story-only real-world aside).,SKIP: prose aside with no custom numbers,SKIP: prose aside
"Batting averages — Justice vs Jeter","Real-world hook: one player's yearly average exceeds another's each year but career average is lower, because at-bat proportions differ.",Not covered (story-only real-world aside).,SKIP: prose aside with no custom numbers,SKIP: prose aside
"Construction: two segments with +5pp lift each","Clean setup — segment A (20% of pop, 80% baseline) and segment B (80% of pop, 20% baseline); treatment lifts each by +5pp.","Loop A Try: same specs — SegmentSpec A (0.20 share, 0.80 baseline), B (0.80 share, 0.20 baseline), +0.05 lift each.",generate.render_paradox_construction (seed 1200); story_generate.render_paradox_construction,play/paradox_builder.py
"Imbalanced assignment is the lever","20% of segment A gets treatment (most A in control), 80% of segment B gets treatment (most B in treatment).","Loop A Try: bias the assignment — treatment-share-in-A = 0.20, treatment-share-in-B = 0.80 via imbalanced_assignment.",SKIP: same call as row 6 render functions,SKIP: same play/paradox_builder.py covers this knob
"Per-segment view shows +5pp each; aggregate shows −21pp","Left panel: A control 80% / A treatment 85%; B control 20% / B treatment 25%. Right panel: aggregate control 50%, aggregate treatment 28.5%. Aggregate diff −21.5pp. Image story/paradox_construction.png.","Loop A Observe: analytic pooled control 0.500, treatment 0.285, aggregate −21pp. Image paradox_construction.png.",generate.render_paradox_construction; story_generate.render_paradox_construction,SKIP: paradox_builder prints the same per-segment vs aggregate readout
"Why the asymmetric weighting lies","Aggregate is population-weighted — control arm dominated by segment-A (high baseline), treatment arm dominated by segment-B (low baseline). Comparing two different mixes, not the effect.","Loop A Hunch: which weighted average is right is a causal question, not arithmetic. Forward-ref to Loop E.",SKIP: weighted-average identity is arithmetic prose,SKIP: no new knob beyond row 7
"Sweeping the assignment imbalance","Horizontal axis: share of segment A assigned to treatment (5%–95%). Vertical axis: resulting aggregate effect. Image story/paradox_sweep.png.","Loop B Try: sweep treatment-share-in-A from 0.05 to 0.95 (31 points), holding per-segment effect at +0.05. Image paradox_sweep.png.",generate.render_when_does_it_flip (seed 0, n=10000); story_generate.render_paradox_sweep (analytic),play/paradox_builder.py
"Balanced assignment gives the truth, skew gives anything","Share near 50% → aggregate near +5pp. Share near 5% or 95% → aggregate drifts far, sometimes flips sign.","Loop B Observe + Hunch: closer to balanced within each segment, closer the aggregate is to the true within-segment effect.",generate.render_when_does_it_flip,SKIP: paradox_builder covers this by tweaking TREAT_SHARE_A/B
"Random assignment kills the paradox","Segment composition of treatment arm matches control in expectation. Paradox cannot arise. Finite samples with reasonable N make it vanishingly unlikely.","Loop C Try: balanced (50/50) vs imbalanced (20/80) over 50 simulated runs. Rule of thumb: random or stratified/block-randomized assignment removes the risk. Image paradox_impossible.png.",generate.render_when_impossible (seed 0, 50 trials),SKIP: setting TREAT_SHARE_A=0.5 TREAT_SHARE_B=0.5 in paradox_builder already demonstrates this
"Where the paradox actually lives","Observational studies, non-random assignment, self-selection, administrative data (sicker patients to better hospitals, harder programs get selective applicants).",Loop C Rule of thumb: shows up most often in observational data and poorly-implemented assignment correlated with segment membership.,SKIP: domain prose with no custom numbers,SKIP: domain prose
"Frequentist: stratified analysis is the right answer","Explicit: run a two-proportion comparison inside each segment; each flags +5pp, the aggregate flags the wrong direction. Choosing the stratified view is substantive, not statistical.","Loop D Frequentist: per-segment two-proportion z-test shows +5pp lift in each; aggregate test shows wrong direction. Choosing between them is substantive, not statistical.",SKIP: stratified z-test is a few scipy calls; same arithmetic as row 8 render_paradox_construction,SKIP: same knob surface as row 7 play
"Bayesian hierarchical alternative","Teased near the end: a hierarchical model learns per-segment and population-level effects simultaneously, given the segment label.","Loop D Bayesian: per-segment effect ~ Normal(mu, tau); mu ~ Normal(0,1), tau ~ HalfNormal(1). Variance partitioned into segment-level and population-level.",generate.render_hierarchical_recovery (seed 1212; target_accept 0.99; tune 3000) calling hierarchical_segmented_posterior,SKIP: PyMC fit is slow; interactive version belongs in Ch 11's play/
"The aggregate answers a different question","Aggregate answers 'who's more likely to have a positive outcome if I randomly pick from each arm?'. Within-segment answers 'does the treatment help?'. Both arithmetic-correct, different questions.",Echoed in Loop A Hunch and Loop F Hunch: paradox lives in the aggregation you choose to report.,SKIP: conceptual distinction already exercised by row 8 numbers,SKIP: same tool surface as row 7 play
"Confounder vs mediator — same numbers, opposite answers","Implicit in the discussion: the 'right' comparison depends on the causal structure.","Aside: two DAGs produce the same numbers. Confounder (segment → treatment, segment → outcome) → condition on segment. Mediator (treatment → segment → outcome) → conditioning blocks the effect. Arithmetic alone cannot distinguish.",SKIP: DAG narrative with no numerical divergence at this chapter's level,SKIP: do-calculus belongs in a later causal chapter
"Berkeley-style synthetic example","Left panel: Department A (hard, ~20%) and B (easy, ~65%), women slightly favored in each. Right panel: men 57.6%, women 26.4% aggregate. 31-point gap from application mix. Image story/berkeley_style.png.","Loop E Try/Observe: two departments; synthetic numbers inspired by Bickel/Hammel/O'Connell 1975; women higher per-dept but men higher aggregate. Image berkeley_style.png.",generate.render_berkeley_style (seed 0, n=1500 each); story_generate.render_berkeley_style (analytic),SKIP: paradox_builder already covers two-cluster reversal; department-version is the same shape
"Court-case framing — which question is being asked?","'Is there a discriminatory effect of being female?' vs 'Is there a discriminatory effect of admissions policies, weighted by who applies where?'. Different questions, different right answers.",Loop E Hunch: the 'right' answer depends on which causal question you're asking.,SKIP: framing prose,SKIP: framing prose
"Hierarchical model recovers the +5pp within-segment effect","Added: both per-segment posteriors land near +5pp, population-level mu around +5pp, naive aggregate still near −21pp. Image images/hierarchical_recovery.png.","Loop F Try/Observe: fit the Ch 11 hierarchical model on Loop A data. Per-segment posterior centres near +5pp; naive aggregate ≈ −21pp; population-level mu (on probability scale around avg baseline) also ≈ +5pp. Image hierarchical_recovery.png.",generate.render_hierarchical_recovery (saves hierarchical_paradox.nc; seed 1212),SKIP: PyMC fit is slow for interactive play
"Two-segment identifiability caveat","One-line caveat in story: with only two segments the partial-pooling variance is barely identified; the sampler needs careful tuning, and the population-level spread should not be over-read.","Loop F Try note + Caveat: with only two segments, tau is barely identified — needs target_accept ≈ 0.99 and long tuning. Synthetic data has no unobserved confounders; segment captures only the confounding it is correlated with.",SKIP: caveat is a sampler-settings footnote not a figure,SKIP: same
