Topic,Story (story.md),Technical (chapter.md),Code,Play
"Are everyday coins actually fair?","Opening question. Coins are designed as currency; fairness is incidental. Tolerances, wear, ref's pocket coin — nobody ever checks.","Chapter framing: the coin is not the point, the way we think about it is.","SKIP: framing row, no artifact","SKIP: framing row, no artifact"
"The two lenses and notation","Hinted near the end — two different questions hide in the same data.","'Two ways of thinking' section: frequentist asks 'if fair, how often this extreme?', Bayesian asks 'how should my belief change?'. Notation p, p_hat, P(p>0.5).","SKIP: notation setup, no code","SKIP: notation setup, no toy"
"Would you even notice a small bias?","30 years of brother coin tosses, ~60 extra wins lost in life's noise. Gas-station dice over a weekend.",Implicit motivation for Loops C and D.,"SKIP: real-world hook, story-only","SKIP: real-world hook, story-only"
"First three tosses come up HHH",Physical flip and the streak — image story/first_three_tosses.png.,Loop A Try/Observe: three heads.,"story_generate.render_first_three_tosses (seed 500); generate.loop_a_three_then_ten saves first_three (seed 4).","SKIP: single-sequence render, no toy"
"Instinct vs counter-argument","The streak feels meaningful; pushback — 1/8 things happen all the time (bus, 3:33, friend texts).",Loop A Ideate + Frequentist take: p = (1/2)^3 = 0.125. Not rare.,"SKIP: hunch row, no separate code","SKIP: hunch row, no toy"
"Bayesian take on HHH","Belief-tilt paragraph after the 1/8 pushback: best guess ~0.8, most belief on heads-heavy side, skeptical prior would barely move.","Loop A Bayesian take: Beta(1,1) → Beta(4,1); mean 0.8; P(p>0.5) ≈ 0.94. Aside: skeptical prior Beta(50,50) would barely move.",generate.fit_pymc_snapshots (N=10 case),"SKIP: posterior snapshot, no toy"
"Seven more tosses → 10 total","T,T,H,T,H,T,T = 5 of 10. Image story/ten_tosses.png. Coin 'steadies' — but is the relief earned?","Loop A Try more (different seed pair): 6 of 10.",story_generate.render_ten_tosses (seed 500); generate.loop_a_three_then_ten saves next_seven and ten (seed 2),"SKIP: single-sequence render, no toy"
"Both lenses still say 'not sure' at 10 tosses","After the strip-of-ten relief: both views soften to not-sure, one shrugs 'fair would easily do this', the other shrugs 'somewhere between fair and heads-leaning'.","Loop A Compare: exact binomial p ≈ 0.754; posterior Beta(7,5) → P(p>0.5) ≈ 0.73. Hunch: small samples lie.","SKIP: analytic compare, no code","SKIP: analytic compare, no toy"
"Pacing through data isn't a procedure",Would I have reacted the same way if I'd seen all 10 in one batch?,Forward-ref to optional stopping in Ch 3 and Ch 18.,"SKIP: forward-reference, no code here","SKIP: forward-reference, no toy here"
"What does 'fair' actually mean?","Exactly-half fails (million fair coins, only ~25% land at 5/10). Friend wanders by — fair is the infinite-toss limit.",Motivates Loops B and C.,"SKIP: definition setup, no code","SKIP: covered by play/running_fraction.py below"
"Running fraction settles as N grows",Four-panel walk at N=10/100/1000/10000; final fraction ≈ 49.9%. Image story/running_fraction_settles.png. Honesty break — it's a simulator.,"Loop C Try/Observe: long run at N=10/100/1000/10000. Wilson CIs [0.31,0.83], [0.40,0.60], [0.47,0.53], [0.49,0.51].",story_generate.render_running_fraction_settles (seed 500); generate.loop_c_long + render_loop_c_panels (seed 7),play/running_fraction.py
"Bayesian posterior tightens in lockstep with N","Belief-cloud paragraph after the running-fraction walk: wide at N=10, narrow at 100, tight bump at 1000, spike at 10000. Two pictures of the same shrinking uncertainty.",Loop C Compare: PyMC posterior with Beta(1,1) prior tightens at the same rate as the Wilson band.,generate.fit_pymc_snapshots + render_posterior_tightening,"SKIP: covered by play/running_fraction.py"
"Six independent runs at N=100 wobble apart","Six runs end between 43% and 58%; only one within 5pp of 50. Image story/many_seeds_wobble.png. Disquieting — a single low run would have made me suspect the coin.","Loop B Try/Observe: six seeded runs, some sit above 0.6 for first 30 tosses, others below 0.4. Question: where do we draw the line?","story_generate.render_many_seeds_wobble (seeds 11,23,41,67,89,113); generate.loop_b_many_seeds + render_loop_b_image (seeds 101–106)",play/many_seeds.py
"Frequentist and Bayesian intervals agree at moderate N","SKIP: technical-only interval comparison","Loop B Frequentist+Bayesian takes: Wilson CI ≈ [0.40, 0.60] at 50/100; Beta(1,1) credible interval identical to 2 decimals.",generate.render_two_lens_endcap (compares at four sample sizes),"SKIP: covered by play/many_seeds.py"
"Cherry-picking lies about provenance, not contents",Sweep a 2000-toss fair run for a 12-toss window with 10 heads — find one near toss 290. Image story/cherry_picked_window.png. Emerging rule: look at all the data.,Mentioned obliquely in Loop C Probe — stopping mid-run mimics the same trick.,story_generate.render_cherry_picked_window (seed 42),play/cherry_picking.py
"Detour: how to actually make a biased coin",Diaconis result — rotations wash out geometry; flipped coin bias mostly comes from initial conditions. 'Biased' in this book means a process whose long-run fraction is not 1/2.,Not covered (story-only physics aside).,"SKIP: physics aside not in tech track","SKIP: physics aside, no toy"
"Fair vs biased coin side by side","p=0.50 vs p=0.55 at 10,000 tosses each; three-panel L→R reading at N=100/1000/10000; final 50.17% vs 54.76%. Image story/two_coins_compared.png.","Loop D Try/Observe: 2,000 tosses each → 50.4% (1007) vs 54.4% (1089); running fractions clearly separated.","story_generate.render_two_coins_compared (seeds 7, 8); generate.loop_d_fair_vs_biased + render_loop_d_overlap (seeds 21, 22)",play/compare_two_coins.py
"At small N, fair and biased look the same","A 0.1%-heavy coin would need maybe a million tosses to separate.","Loop D Frequentist (no power at N=10) + Bayesian (posteriors are overlapping blobs, mostly prior). Right panel of loop_d_fair_vs_biased.png — 10-toss histograms overlap heavily.",generate.render_loop_d_overlap (20000 binomial batches per coin),"SKIP: covered by play/compare_two_coins.py"
"Two-lens endcap: CIs from both lenses line up","SKIP: technical-only synthesis figure",Wilson CI and Bayesian 95% credible interval at N=10/100/1000/10000 sit nearly on top of each other. Image two_lens_endcap.png.,generate.render_two_lens_endcap,"SKIP: existing render handles this"
"Fair-or-how-much-not — stakes decide what matters",Kickoff toss vs running a casino — same data, different decision.,"Loop D Hunch: the number of tosses needed is not a feeling, it's a calculation.","SKIP: hunch row, no separate code","SKIP: decision framing, no toy"
"Two different questions hide in the same data","'If fair, how surprising is this?' vs 'given this, what should I now believe?'. Just notice they're different for now.",The two lenses formally split across Ch 2 (frequentist) and Ch 3 onward (Bayesian).,"SKIP: conceptual synthesis, no artifact","SKIP: conceptual synthesis, no toy"
"Hand-off: how sure am I, really?",Closing line that becomes the title of Ch 2.,"Big-question section: 6/10 — 'is this rigged?'. p=0.75 vs posterior=0.73. Ch 2 introduces null hypothesis, p-value, type I/II errors, posterior tail mass, Bayes factor.","SKIP: hand-off paragraph","SKIP: hand-off paragraph"
