Topic,Story (story.md),Technical (chapter.md),Code,Play
"Carried question from Chapter 8","Mechanics of two-arm comparison work; now ask what 'wine is good for you' actually claims.","Framing: math gets out of the way, design choices step in. What is hiding in the small print?","SKIP: framing row, no code","SKIP: framing row, no play script"
"Real-world hook: the moderate-wine headline","1980s-2010s observational studies compared moderate drinkers to non-drinkers; 2018 Stockwell reanalysis eliminated most of the apparent benefit once the comparison group was fixed.",Story-only motivation for Loop A.,"SKIP: real-world hook, no simulation","SKIP: real-world hook, no play script"
"Vioxx and Bem as cautionary tales","2003 Vioxx trial was internally valid but externally limited; 2011 Bem precognition paper had correct internal analysis with analyst-freedom baked in.",Story-only preamble: the math ran honestly inside its bubble; the bubble's boundary was the problem.,"SKIP: historical cautionary tales, not simulated","SKIP: historical examples, no play script"
"Clean A/B on 22yo college students","Fake-but-plausible scenario: 1000 wine vs 1000 no-wine, one-year follow-up, 5pp lower rate in the wine arm.","Loop A Try: two-proportion z on a simulated cohort gives treatment 0.465, control 0.392, z = 3.30, p = 0.001; Bayesian Beta(1,1) posterior on the difference gives mean +0.073, 95% CrI [+0.030, +0.116], P(diff>0) = 0.9995.","generate.render_external_validity (seed 900 for studied cohort, segmented_binary from expkit.sim.user_segments)",play/external_validity_sim.py
"Headline writes itself","'Wine reduces heart-disease risk by 5 percentage points'.","Loop A: both lenses agree on the studied data; the press release is real by any standard.","SKIP: headline summary, covered by prior row's simulation","SKIP: narrative takeaway, no play script"
"Real population is a mix of segments","10% college, 20% stressed 40yo, 20% healthy 65+, 5% pregnant, 10% teens, 35% middle-aged sedentary.","Loop A Try: same intervention applied to the universe mix; SegmentSpec list feeds segmented_binary with N=20000.","generate.render_external_validity (universe segments, seed 901); story_generate.render_external_validity (illustrative bars)","SKIP: covered by play/external_validity_sim.py in row 5"
"Per-segment effects disagree","Image story/external_validity.png: pregnant women -10pp, teens -5pp, stressed 40yo slight harm, sedentary 0, retirees +1pp.","Loop A Observe: bars from finite 20K sample are noisy versions of injected ground truth; note per-segment lifts are illustrative, not pharmacology.","generate.render_external_validity saves images/external_validity.png; story_generate.render_external_validity saves images/story/external_validity.png","SKIP: covered by play/external_validity_sim.py in row 5"
"Population-weighted average is negative",Weighting by segment shares makes the average effect approximately negative; the headline is true for 22yo students and misleading for everyone else.,Loop A Hunch: internal vs external validity are different questions; the gap is where most 'X is good for you' stories live.,"SKIP: interpretation of prior simulation output","SKIP: covered by play/external_validity_sim.py"
"Transportability: two-lens commentary","SKIP: transportability formalism, tech-only","Loop A two-lens: frequentist is subgroup-test framing (per-segment z plus multiple-comparison correction, or refuse to extrapolate); Bayesian puts a posterior on the population-average lift with hierarchical per-segment effects, centered well below +5pp and easily straddling zero.","SKIP: two-lens commentary, not new code","SKIP: commentary row, no play script"
"Outcome choice: which metric counts as 'good'?","Wine study measured cardiovascular events; could also have measured liver function, accidents, sleep, cognition, breast cancer.","Loop B Try: run the same study but measure three outcomes -- resting heart rate (proxy), exercise tolerance (proxy), all-cause mortality (the thing we care about).","SKIP: setup row, code shown in next row","SKIP: outcome-choice framing, no play script"
"Three outcomes, three verdicts","Image story/outcome_choice.png: resting HR -3% (publishable), exercise tolerance flat, all-cause mortality essentially flat with a wide bar.","Loop B Observe: HR -3% CI [-5%, -1%] significant; exercise tolerance +1% CI [-1%, +3%] noise; all-cause mortality -0.2% CI [-1%, +0.6%] noise. Image outcome_choice.png.","generate.render_outcome_choice; story_generate.render_outcome_choice","SKIP: no outcome-choice explorer, generator only"
"All-cause outcomes are harder to game","Specific outcomes can be cherry-picked; all-cause mortality catches drugs that help one system and kill through another.",Story-only aside reinforcing Loop B hunch.,"SKIP: conceptual aside, no simulation","SKIP: conceptual aside, no play script"
"Hunch: 'wine improves health' is a leap",Choosing which outcome to feature is a decision the reader does not see.,"Loop B Hunch: 'reduces resting heart rate' is true; 'improves health' is a leap.","SKIP: hunch row, no new code","SKIP: hunch row, no play script"
"Side effects: target, secondary, harm","Wine example: positive target (+0.30 cardiovascular), neutral secondary, negative harm (-0.40 liver).","Loop C Try: track target, secondary, and harm metrics simultaneously.","SKIP: setup row, code in next row","SKIP: setup row, play in utility_explorer.py"
"Same intervention helps and hurts","Image story/side_effects_tradeoff.png left panel: target +0.30, secondary 0, harm -0.40.","Loop C Observe: target +0.30 good, secondary 0 neutral, harm -0.40 bad. Image side_effects.png.","generate.render_side_effects (seed 0, n=1500, normal samples with SE-based 95% CI); story_generate.render_side_effects_tradeoff (left panel bars)","SKIP: tradeoff explored in play/utility_explorer.py"
"Trials in clinical and product domains routinely have this shape","SKIP: domain generalisation, tech-only","Loop C Hunch: the decision depends on weights, not on the data alone.","SKIP: generalisation row, no code","SKIP: generalisation row, no play script"
"Utility function U = w*target + (1-w)*harm","Right panel of story/side_effects_tradeoff.png: utility line crosses zero at w ≈ 0.57. Below that, harm dominates; above, target dominates.","Loop D Try: sweep w from 0 to 1 and see when U switches sign, with target +0.30 and harm -0.40.","generate.render_tradeoff (target 0.30, harm -0.40, 100-point sweep); story_generate.render_side_effects_tradeoff (right panel, 200-point sweep, boundary 0.40/(0.30+0.40))",play/utility_explorer.py
"Two stakeholders, different weights, different decisions",Cardiologist favors; liver specialist does not. Neither is reading the data wrong.,Loop D Observe: same posterior plus different utility functions gives different ship/no-ship verdicts.,"SKIP: covered by utility sweep in prior row","SKIP: covered by play/utility_explorer.py"
"A decision is posterior + utility + threshold","First piece is statistical; the second and third are values questions owned by the decision-maker, not the analyst. Most 'data fights' in public health are actually weighting fights.","Loop D Hunch: the utility function is not a statistical question. Caveat: the curve plugs point estimates into U; proper expected utility is E[U(theta)] integrated over the joint posterior (forward-ref to Ch 6 Bayesian machinery and a later decision-theory chapter).","SKIP: decision-theory hunch, forward-ref, no code","SKIP: covered by play/utility_explorer.py"
"Same four traps in the wider world","Zolpidem dosed for men; WEIRD psychology samples; A/B tests on a single week's visitor mix.",Story-only closing panorama: same external-validity question hovers over drug trials, psychology, and web experiments.,"SKIP: real-world panorama, not simulated","SKIP: panorama row, no play script"
"Small print vs headline",Most readers read the headline; the defense is willingness to read the small print or at least ask whether it exists.,"SKIP: reader-advice moral, story-only","SKIP: moral takeaway, no code","SKIP: moral takeaway, no play script"
"Hand-off: the same traps in industry dress","Closing forward-look: click-rates substitute for heart rates, engagement substitutes for mortality, one-week horizon replaces ten-year follow-up.","Big-question section: what shape do these problems take in industry experimentation, where the metric is 'did they click?' and the time horizon is one week?","SKIP: hand-off to Chapter 10, no code","SKIP: hand-off row, no play script"
