Topic,Story (story.md),Technical (chapter.md),Code,Play
"Carried question: how does my belief actually update?","Opening: five chapters used 'posterior' and 'credible interval' piecemeal; now the whole framework. Promises three parts and simple arithmetic with philosophical depth.","Chapter framing carried from Ch 5: pin down the framework end-to-end, then keep using it.","SKIP: framing row, no artifact","SKIP: framing row, no interactive"
"Bayesian recipe shows up everywhere","Three real-world examples: doctor with a positive screen for a rare disease, jury starting from presumption of innocence, election-fraud arguments as a dispute over priors.",Not covered (story-only motivation).,SKIP: real-world hook story-only,SKIP: real-world hook story-only
"Prior, likelihood, posterior: the recipe","Coin-in-hand framing: pre-toss belief is the prior, P(data | bias) is the likelihood, normalized product is the posterior. Same recipe across all three examples.","Loop A Recipe: prior is a distribution on p in [0,1]; likelihood is Binomial(n, p) at k; posterior is proportional to likelihood * prior, normalized.",SKIP: definition row no code artifact,SKIP: definition row no interactive
"Recipe in one breath: three panels",Flat prior, likelihood peaked near 0.6 from 6/10 heads, posterior bell just above 0.6. Image story/recipe_one_breath.png.,Loop A reference figure (uses the closed form below).,story_generate.render_recipe_one_breath,SKIP: static figure has no interactive
"Beta-Binomial conjugacy",Closed-form special case: Beta(a, b) prior + k heads in n tosses gives Beta(a + k, b + n - k). Posterior of Beta(7, 5) for 6/10 centred at 7/12 = 0.583.,"Loop A Recipe (closed form): Beta(a, b) + k/n yields Beta(a + k, b + n - k). The reason coin problems are tractable by hand.",SKIP: closed-form formula no standalone artifact,SKIP: covered by play/prior_explorer.py below
"Likelihood principle",Not covered (story stays informal).,"Loop A immediate consequence: posterior depends on data only through the likelihood, not the stopping rule or design. This is why Bayesian posteriors survive optional stopping (Ch 3).",SKIP: conceptual principle no artifact,SKIP: conceptual principle no interactive
"Choice of 'uninformative' prior",Not covered (story uses Beta(1,1) without naming alternatives).,"Loop A aside: Beta(1, 1) used throughout for transparency; Jeffreys Beta(0.5, 0.5) is invariant under reparameterization. Different invariances, different defaults.",SKIP: tech aside no code artifact,SKIP: explored in play/prior_explorer.py
"Credible interval vs confidence interval",Not covered.,"Loop A pin-down: 95% credible = posterior probability statement; 95% CI = long-run coverage statement. They coincide numerically with flat prior + moderate N, but license different claims.",SKIP: definitional contrast no artifact,SKIP: definitional contrast no interactive
"Priors argue at small N","Same 6/10 data, four priors. Flat posterior wide near 0.58; skeptical Beta(50, 50) barely moves at 0.51; Beta(2, 8) at 0.40; Beta(8, 2) at 0.70. Image story/priors_argue.png left panel.","Loop B Try/Observe: same 6/10, four priors, four very different posteriors with the same posterior means as the story.","story_generate.render_priors_argue (left panel of three); generate.render_priors_argue (left panel of two)",play/prior_explorer.py
"Data overwhelms priors at large N",Middle and right panels of priors_argue.png: at 60/100 the posteriors converge; at 600/1000 they are indistinguishable spikes at 0.6.,"Loop B Observe: at 600/1000 every posterior collapses to a narrow blob at 0.60. Image priors_argue.png (right panel of two).","story_generate.render_priors_argue (60/100 and 600/1000 panels); generate.render_priors_argue (600/1000 panel)",play/prior_explorer.py
"When to worry about the prior","Meta-answer to subjectivity objection: priors matter when data is scarce, are invisible when data is plentiful. Frequentist null + alpha threshold is its own implicit prior.","Loop B Hunch: with lots of data use flat or weakly informative for transparency; with little data justify and sensitivity-test.",SKIP: rule-of-thumb synthesis no artifact,SKIP: covered by play/prior_explorer.py above
PyMC as the general engine,"Most real problems have no clean formula. PyMC samples from the posterior numerically for any model; recipe is the same, computation harder, milliseconds on a computer.","Loop C Try: same Bernoulli-Beta model in PyMC; pm.Beta('p', 1, 1) + pm.Binomial('y', n, p, observed=heads), pm.sample with seed 606.",generate.render_pymc_diagnostic (200 tosses at p=0.55),SKIP: PyMC sampling not suited to play widget
PyMC matches the closed form,"Histogram of 8000 computer samples after 60/100 with flat prior sits exactly under the Beta(61, 41) curve. Image story/pymc_vs_closed_form.png.","Loop C Observe: chains track each other, histogram of MCMC draws sits under the closed-form Beta curve. Image pymc_trace_vs_closed_form.png.","story_generate.render_pymc_vs_closed_form (seed 606, k/n = 60/100, samples from Beta directly); generate.render_pymc_diagnostic (seed 606, true p=0.55, n=200, real PyMC)",SKIP: validation figure no interactive
