Topic,Story (story.md),Technical (chapter.md),Code,Play
"Which slicings of a population are worth using?","Opening question carried from Ch 10: the aggregate hides cohort structure, so which cut reveals it?","Chapter framing: segmentation is a modelling decision; picking the wrong slice wastes the experiment.","SKIP: framing row, no code artifact","SKIP: framing row, no simulator"
"Real-world stakes of segmentation","Four vignettes: statin effective only in one genotype, reading curriculum lifting middle-income kids, A/B flow harming the most-active 5%, criminal-justice algorithm false-positive disparity.",Motivates Loops A, C.5, and D.,"SKIP: motivational vignettes, no code","SKIP: motivational vignettes, no simulator"
"Simulated A/B test setup","Imagined software A/B: each user has assignment, outcome, demographic and behavioural attributes.","Loop A Try: 5,000 users, four behavioural segments, random country and age; simulator injects +10 / +4 / -3 / 0 pp lifts by segment as ground truth.",generate.render_demographic_vs_behavioral (seed 110); expkit.segments.behavioral.simulate_population,play/segmentation_simulator.py
"Aggregate lift hides the per-segment story","Aggregate reads a tidy +3pp; the team wants to ship.","Loop A Observe: pooled lift around +0.033 for seed 110; pooled value depends on segment proportions and is not a population parameter.","SKIP: observation of prior row's output","SKIP: covered by play/segmentation_simulator.py aggregate view"
"Country slicing is uninformative","Left panel of story/demographic_vs_behavioral.png: country A +3.2, B +3.4, C +2.8 — roughly equal.",Loop A Observe: lifts roughly equal across countries A/B/C.,"story_generate.render_demographic_vs_behavioral; generate.render_demographic_vs_behavioral (seed 110)","SKIP: covered by play/segmentation_simulator.py country view"
"Behavioural slicing reveals heterogeneity","Right panel of story/demographic_vs_behavioral.png: contributors +10, consumers +4, silent intentionals -3, passive 0.","Loop A Observe: empirical per-segment lifts ≈ +0.066, +0.129, -0.040, +0.030 in this realization; gap vs injected values is sampling noise that Loop D recovers. Figure images/demographic_vs_behavioral.png.",generate.render_demographic_vs_behavioral (seed 110),"SKIP: covered by play/segmentation_simulator.py behavioural view"
"Demographic descriptive, behavioural closer to mechanism",Story rule: behavioural features are closer to the cause of treatment heterogeneity than demographics.,Loop A Hunch: demographic features are descriptive but rarely the cause of differential effects; behaviour is closer to the cause.,"SKIP: hunch row, no code artifact","SKIP: hunch row, no simulator"
"Knowing which behaviours to slice on",Mixed honest answer: domain knowledge plus inspection; articulate a hypothesis before the experiment and check it with the slice.,"Loop A practical note: pre-register slices motivated by domain mechanism; treat inspection-driven slices as exploratory and pay the multiplicity tax from Loop C.5.","SKIP: practice note, no code artifact","SKIP: practice note, no simulator"
"Three axes define the behavioural space","Three axes — weekly active rate, contribution rate, intentional navigation rate — each in [0,1]; segments are corners of that cube.","Loop B framing: same three axes; labels built by a median-split cascade in label_behavioral.",expkit.segments.behavioral (simulate_population + BEHAVIORAL_LABELS),"SKIP: axis definition, no simulator view"
"Each segment has a distinctive signature","Three histograms in story/segment_signatures.png: active contributors high on all three, consumers high active / low contribute, silent intentionals low active / high intent, passive low everywhere.","Loop B Observe: same story per axis; image images/segment_signature.png.","story_generate.render_segment_signatures (seed 0); generate.render_segment_signature (seed 111)","SKIP: covered by play/segmentation_simulator.py signature view"
"Median-split cascade and unbalanced segment sizes",Not covered (story treats segments as clean corners).,"Loop B Observe: thresholds are simple medians applied as a cascade; seed 110 gives passive 1898, silent intentional 1249, active contributor 1228, active consumer 625. Smallest bucket matters for power in Loops C.5 and D.",generate.render_demographic_vs_behavioral implicitly via simulate_population,"SKIP: implementation detail, no simulator view"
"Why medians, not domain cuts","SKIP: technical aside, not in story","Loop B aside: medians chosen so labels are well-defined for any input; a real product would tune cuts to its own distribution.","SKIP: design aside, no code artifact","SKIP: design aside, no simulator"
"Three segmentation schemes, three stories","story/segmentation_choices.png: tenure (minor diff), activity tertile (clear gradient +9 to flat), behavioural label (most informative, captures silent-intentionals dip).","Loop C Try/Observe: same population, tenure / activity tertile / behavioural label. Tenure minor, activity tertile gradient, behavioural label adds nuance. Image images/segmentation_choices.png. Note: Loop C uses a continuous-in-weekly_active treatment, unlike the discrete lifts in A and D.","story_generate.render_segmentation_choices; generate.render_segmentation_choices (seed 112)","SKIP: covered by play/segmentation_simulator.py scheme comparison"
"Segmentation is a modelling choice",Story close of the three-scheme panel: no objective best segmentation; choice encodes assumptions about which heterogeneity matters.,Loop C Hunch: the segmentation is itself a modelling decision; there is no objective segmentation.,"SKIP: hunch row, no code artifact","SKIP: hunch row, no simulator"
"Multiple-comparisons trap with four segments","Four separate 5% tests give ~19% family-wise false-positive rate; same trap as Ch 7 in segment-shaped clothes.",Loop C.5 Try: run a two-proportion z test per behavioural segment on the seed-110 Loop A data.,generate.render_multiplicity (seed 110) + expkit.inference.normal.two_proportion_z,"SKIP: covered by play/segmentation_simulator.py multiplicity view"
"Bonferroni, Holm, Benjamini-Hochberg","Sketch: Bonferroni divides alpha by m; Holm is step-down FWER and uniformly more powerful; BH controls FDR and is more permissive for large families.","Loop C.5 Observe: raw p = 1.84e-4, 1.40e-2, 3.45e-1, 3.13e-1. Bonferroni rejects only active_contributor; Holm rejects two (3 * 0.0140 = 0.042); BH rejects same two with adjusted p 7.35e-4 and 2.80e-2. Image images/multiplicity.png.",generate.render_multiplicity + expkit.inference.multitest.{bonferroni,holm,benjamini_hochberg},"SKIP: correction procedures, no interactive view"
"Cochran-Mantel-Haenszel: one test, no multiplicity tax","Non-multiplicity alternative sketch: treat each segment as a stratum, one test asks whether treatment shifts outcome across strata.","Loop C.5 Observe/CMH: chi2 = 14.6, p = 1.33e-4, pooled OR_MH = 1.26 on the four 2x2 tables; no per-segment claim, no multiplicity tax.",generate.render_multiplicity + expkit.inference.cmh.cochran_mantel_haenszel,"SKIP: single-test calc, no simulator view"
"Per-segment-with-correction vs CMH — different questions","Choice hinges on the question: which segments respond vs did treatment work on average after adjusting for segment.",Loop C.5 Hunch: CMH for a global yes/no; Holm when FWER and segments are few/pre-registered; BH when list is large and FDR is acceptable; hierarchical pooling is the third path.,"SKIP: hunch row, no code artifact","SKIP: hunch row, no simulator"
"Frequentist two-lens routes","Not covered explicitly.","Two-lens commentary: per-segment z/chi-square with Bonferroni/Holm/BH, or logistic regression with arm:segment interaction, or CMH for segment-adjusted aggregate.",expkit.inference.multitest + expkit.inference.cmh,"SKIP: route catalogue, no simulator view"
"Hierarchical Bayes as the Bayesian alternative","Story sketch: treat per-segment effects as draws from a population distribution; small noisy segments shrink toward the mean, big clear segments stay put. Calibrated per-segment answer without multiple-comparisons correction.","Two-lens commentary: hierarchical model with partial pooling replaces explicit multiple-testing correction with regularization toward the population.",expkit.inference.bayes.hierarchical_segmented_posterior (see Loop D render_hierarchical_pymc),"SKIP: PyMC model too heavy for simulator"
"Non-centered parameterization and the funnel",Not covered.,"Loop D framing: centred effect[s] ~ Normal(mu, tau) funnels when tau is small; non-centered effect[s] = mu + tau * z[s] with z ~ Normal(0,1) keeps geometry well-conditioned for NUTS.",generate.render_hierarchical_pymc + expkit.inference.bayes.hierarchical_segmented_posterior,"SKIP: NUTS geometry detail, not simulator scope"
