Topic,Story (story.md),Technical (chapter.md),Code,Play
"Carried question: more sensitive tests without more data","Opening frame: halving minimum detectable effect costs 4x sample; some techniques beat that scaling by subtracting needless variation.","Carried from Ch 15: even good metrics wobble, we tame the wobble.","SKIP: framing row, no artifact","SKIP: framing row, no artifact"
"Real-world hook: Microsoft CUPED","CUPED (2013) cut A/B test variance 30 to 50 percent at Microsoft with no added users by using each user's pre-experiment behavior.","Carried-from anchor: Microsoft CUPED 2013 result named at the top of the chapter.","SKIP: historical anchor, no code","SKIP: historical anchor, no play"
"Real-world hook: adjusted sports and stratified clinical trials","Shot-difficulty-adjusted shooting percentage and stratified randomization in Phase 3 trials as analogues of the same 'subtract needless variation' trick.","Carried-from anchor: sports and Phase 3 stratification named as cross-domain analogues of the same trick.","SKIP: cross-domain analogue, no code","SKIP: cross-domain analogue, no play"
"A/B on revenue per user, between-user variance dominates","Simulator frame: one big spender adds more variance than ten small spenders; per-user averaging converges but slowly.","Loop A Try/Observe: three candidate metrics wrap the same truth (mean 10, std 2) with noise std 1, 5, 0.3. High-variance metric needs ~25x more users for the same power. Image images/variance_comparison.png.",generate.render_variance_comparison (seed 0),"SKIP: covered by generate figure"
"Variance is a property of the metric, not the truth","SKIP: commentary beat, no story figure","Loop A framing: the underlying user value is identical, only metric noise differs, so sample size scales with the metric choice.",generate.render_variance_comparison,"SKIP: covered by generate figure"
"CUPED as y minus theta times centered pre-covariate","Walk-through: difference between during-experiment and pre-experiment revenue is what's informative, baseline is noise.","Loop B Try: y_adj = y - theta*(x - x_mean), theta is single-covariate OLS slope; extends to vector theta with multiple pre-experiment covariates via y - X_centered @ theta.","generate.render_cuped uses expkit.metrics.variance.cuped + variance_reduction_ratio (seed 0); story_generate.render_cuped_variance_reduction computes theta inline (seed 16)",play/cuped_demo.py
"Covariate must be measured pre-treatment","Story paragraph after the CUPED math: covariate must be measured pre-treatment or the adjustment absorbs part of the effect.","Loop B caveat: if the covariate is post-treatment, theta can absorb part of the effect and bias the adjusted outcome. Note that expkit.metrics.variance.cuped takes an arm argument but currently ignores it.","SKIP: caveat text, no artifact","SKIP: covered by play/cuped_demo.py"
"CUPED shrinks variance by about half on correlated data","Side-by-side raw-vs-adjusted scatter, SE falls from se_raw to se_cuped, labeled variance reduction. Image story/cuped_variance_reduction.png.","Loop B Observe: on simulated strongly-pre-correlated data, CUPED removes ~50% of the variance. Image images/cuped.png.","generate.render_cuped (n=4000, seed 0); story_generate.render_cuped_variance_reduction (n=1000, seed 16)",play/cuped_demo.py
"Free statistical power from pre-experiment data","25% variance reduction ~= 33% larger experiment; 50% reduction ~= doubling the sample.","Loop B Hunch: free power given pre-experiment data. Ch 3's required-N assumed raw outcome variance; CUPED roughly doubles effective N.","SKIP: interpretation beat, no code","SKIP: covered by play/cuped_demo.py"
"CUPED generalizes to any predictive pre-experiment covariate","Demographics, prior engagement, tenure, geo, pre-experiment revenue; modern variants include stratification, regression adjustment, ML residual prediction.",Mentioned obliquely as the multi-covariate extension in Loop B.,"SKIP: generalization beat, no code","SKIP: covered by play/cuped_demo.py"
"Metric stability as the second quality dimension","Some metrics are intrinsically noisier. Conversion rate has known binomial variance; revenue per user is skewed and bootstrap is safer.","Opening frame of Loop C: is the pipeline reporting zero when nothing is happening?","SKIP: framing row, no code","SKIP: framing row, no play"
"A/A test: two arms from the same population","Practical check. Mature programs run A/A tests as part of the pipeline and characterize the noise; metrics that fail A/A routinely cannot be used.","Loop C Try: 5,000 A/A tests at N=500 per arm with no real effect, plot the measured-effect distribution.","generate.render_aa_stability using expkit.metrics.quality.stability_aa (n_trials=5000, seed 0); story_generate.render_aa_test_distribution (n_aa=2000, seed 16)","SKIP: figure-only beat, no play script"
"A/A null distribution is centered at zero",Image story/aa_test_distribution.png showing tight symmetric spread around zero with 5th/95th percentile markers.,"Loop C Observe: mean ~ 0, std ~ 0.063 matching theoretical sqrt(2/N). Histogram in images/aa_stability.png.",story_generate.render_aa_test_distribution,"SKIP: figure-only beat, no play script"
