Topic,Story (story.md),Technical (chapter.md),Code,Play
"How sure am I, really?","Opening — coffee studies, ninety-five-percent-accurate tests, seventy-percent-chance-of-rain, juries. Each phrase hides a threshold nobody ever pulls apart.","Carried from Ch 1: we saw 6/10 heads. Frequentist said p=0.75; Bayesian said P(p>0.5) about 0.73. Two answers, same data. Now make them precise.","SKIP: framing row, no artifact","SKIP: framing row, no artifact"
"Eggplants, press releases, and the number at the bottom","Teenager-and-mom anecdote: 'studies show eggplant causes cancer'. The chain ends at a number that passed some threshold.",Framing: most of statistics is staring at that number.,"SKIP: real-world hook, no artifact","SKIP: real-world hook, no artifact"
"Back to the coin — where is the line?","At 3 heads, at 5/10, at fractions near half over thousands — how sure am I at each stage? When does 'consistent with fair' become 'convinces me it is fair'?","We never know for sure. Both lenses live with that and turn it into something we can act on.","SKIP: question framing, no artifact","SKIP: question framing, no artifact"
"Imagine 10,000 people each tossing a fair coin 100 times","The 10,000 imagined crowd: 796 got 50, 780 got 49 or 51, nine got 35, practically none got 25. Image story/ten_thousand_people.png.",Loop A Try/Observe: pretend the coin is fair; toss 100 times; ask which counts are common.,story_generate.render_ten_thousand_people_raw,play/many_people_tossing.py
"Raw counts vs percent — same shape","Same histogram with vertical axis as percent of the crowd. Image story/what_would_I_see_if_fair.png. Scale-free, so the crowd size stops mattering.","SKIP: rescaling, covered by prior row",story_generate.render_what_would_I_see_if_fair,"SKIP: rescaling only, no interactive need"
"Fair coins can still produce 35 heads","About 9 of 10,000 did. Rarely does not mean never. The picture is about how often, not which results are impossible.","Loop A Observe: counts at/below 39 or at/above 61 happen about 3.5% of the time combined. That's below the 5% budget because no integer cutoff hits 5% exactly.","SKIP: observation on prior render","SKIP: observation on prior render"
"Drawing the surprise line — 80%, 90%, 95%","Casino friend confirms 95% as the everyday default; physicist friend wants five-sigma. The 95% convention is a convention, not a law.","Loop A Frequentist take: the green tail region is the rejection region. Threshold is alpha; turn it up or down as a knob.","generate.render_sampling_distribution (images/sampling_distribution_n100.png)","SKIP: covered by play/threshold_knob.py"
"The 5% surprise tails, cutoffs at 39 and 61","Symmetric two-tailed cutoffs: 39 and below, or 61 and above land in the blue surprise zone. Image story/surprise_tails.png.","Loop A Frequentist: two-sided alpha=0.05 test at N=100 rejects at k<=39 or k>=61.",story_generate.render_surprise_tails (+ _symmetric_surprise_zone helper),play/threshold_knob.py
"Observations on the chart: 50, 55, 60, 65, 70",Arrows at each observation; 50 and 55 sit in red unsurprising; 65 and 70 are in blue; 60 is just inside the red edge. Image story/my_observations_on_the_chart.png.,Same chart underlies the frequentist rejection rule.,story_generate.render_my_observations_on_the_chart,"SKIP: static annotation, no interaction"
"Alpha is an upper bound, not a probability the coin is rigged","SKIP: technical clarification, no story version","Loop A Bayesian take: with Beta(1,1) prior and 50/100, posterior Beta(51,51), CI about [0.40, 0.60]; at 60/100, Beta(61,41), P(p>0.5) about 0.97. Alpha is an upper bound on false-positive rate, not Prob(rigged | data).","generate.render_decision_curves (calls coin_posterior_conjugate; images/decision_curves.png)","SKIP: covered by play/belief_curve.py"
"How to actually build a biased coin",Detour: Diaconis says adding mass to a flipped coin barely works; bend the coin into a cup; spin on edge; replace a face. Threshold-shifting in the simulator vs metalwork at home.,Not covered (story-only physics aside).,"SKIP: story-only physics aside","SKIP: story-only physics aside"
"Biased coin overlaid with fair coin at p=0.55","Blue fair crowd, red 0.55-biased crowd, side by side at N=100. The two humps overlap heavily around 53. Image story/fair_vs_biased_overlap.png.",Implicit in Loop D — small bias hides inside the fair-coin surprise zone.,story_generate.render_fair_vs_biased_overlap (seed 202),"SKIP: static overlay, no interaction"
"Red zone means 'data not strong enough', not 'coin is fair'","The rule has an asymmetry: it lets us conclude bias when we see the blue zone, but it never lets us conclude 'fair' from the red zone.","Loop B Compare: the frequentist test only ever fails to reject H0; it never accepts it. 'Failed to reject' is not 'believes fair'.","SKIP: conceptual asymmetry, no artifact","SKIP: conceptual asymmetry, no artifact"
"Both lenses at every possible observation","SKIP: technical-only comparison","Loop B Try/Observe: for every k from 0 to N, plot frequentist p-value and Bayesian P(p>0.5). At N=10 the two lines cross their thresholds at different k; at N=100 they roughly line up (two-sided freq paired with one-sided posterior — coincidence of the symmetric prior). Image decision_curves.png.",generate.render_decision_curves,"SKIP: covered by play/belief_curve.py"
"Prior sensitivity: flat vs skeptical vs heads-low","Three starting lines meet the same data. Fair-leaning prior barely moves at 60/100; heads-low prior drags up but stays under 0.5; with 600/1000 every prior lands near the same place. Small samples = prior is loud, large samples = data is. Image story/prior_sensitivity.png.","Loop B Probe: Beta(50,50) with 6/10 barely moves; with 60/100 moves noticeably; with 600/1000 matches the frequentist. Beta(2,8) at 6/10 gives posterior Beta(8,12), mean 0.4, P(p>0.5) about 0.18.",story_generate.render_prior_sensitivity,play/prior_sensitivity.py
"Alpha is a knob with consequences in both directions","Three panels of the same chart at 10%, 5%, 1% in the tails. Image story/threshold_knob.png. Wider zone = more alarms (some false); narrower zone = fewer alarms but misses real biases.","Loop C Try/Observe: sampling distribution at alpha=0.10/0.05/0.01 rejects outside [42,58] / [40,60] / [37,63]. Image alpha_sweep.png.",story_generate.render_threshold_knob; generate.render_alpha_sweep,"SKIP: covered by play/threshold_knob.py"
"Why not push alpha to zero?","Zero tails means empty surprise zone, the rule never fires, so the detection rate is also zero. The threshold is the price to pay for firing at all.","Loop C Question: no abstract 'right' alpha. The Bayesian counterpart is the credible-interval level and the action threshold on posterior probability.","SKIP: conceptual, edge of knob row","SKIP: edge of threshold_knob.py range"
"Threshold should match stakes",Beer-round = 10% is fine. Drug-approval = 1% may still be too loose; cost of a missed effect is depriving sick people. Honest reading of p<0.05: a budget for being fooled by chance.,"Loop C Bayesian counterpart: same trade-off, different control surface (ship if P(beneficial) > 0.95).","SKIP: stakes framing, no artifact","SKIP: stakes framing, no artifact"
"The hump narrows as N grows","Four overlaid curves at N=50, 100, 500, 5000 on the fraction axis, all centered at 0.5, spread shrinks with N. Image story/hump_narrows_with_n.png.","Motivates Loop D — bigger N shrinks the unsurprising zone in fraction terms, so small biases can no longer hide.",story_generate.render_hump_narrows_with_n,"SKIP: N covered in play/many_people_tossing.py"
"Ask the inverse question — belief curve","Blank-slate starting point: any bias from 0 to 1 equally plausible. After 60/100, belief curve centered just above 0.6; 95% band runs from about 0.502 to 0.69, with 0.5 just outside the lower edge. Image story/belief_after_60.png.","Loop A Bayesian: Beta(1,1) + 60/100 = Beta(61,41), center 0.598, P(p>0.5) about 0.97. Same math, flipped question.",story_generate.render_belief_after_60,play/belief_curve.py
"Two answers for 60/100 — procedure vs state of mind","Way one: 60 lands in the unsurprising zone, rule does not fire. Way two: belief moves, lean toward biased but only by a hair. Courtroom analogy: burden of proof vs juror's quiet hunch.","Loop B Hunch: both lenses can say 'I am 95% sure' but 'sure of what?' differs. Frequentist conditions on H0; Bayesian assigns posterior probability to p given prior and model.","SKIP: conceptual synthesis, no artifact","SKIP: conceptual synthesis, no artifact"
"Each lens fails differently","SKIP: technical-only contrast","Frequentist fails when we want to believe something rather than merely fail to reject. Bayesian fails when a public decision cannot depend on whose prior. Bayes factor deferred to Ch 6.","SKIP: conceptual contrast, no artifact","SKIP: conceptual contrast, no artifact"
"How often does the rule fool me?","1000 fake experiments at truths p=0.50/0.52/0.55/0.60 across N=50/200/1000. Image story/how_often_I_get_fooled.png. Fair coin: about 5% alarms at every N (the budget). Slightly biased (0.52) at N=1000: about 20% catch rate.","Loop D Try/Observe: 2000 experiments per cell. Under p=0.50, 3-5% rejections (discrete test is conservative). At p=0.52: 4%/7%/23%. At p=0.55: 8%/26%/88%. At p=0.60: 23%/79%/~100%. Image rejection_rates.png.","story_generate.render_how_often_I_get_fooled (seed 303, 1000 trials); generate.render_simulated_decisions (seed 200, 2000 experiments, uses simulate_rejection_rate)",play/rule_fooling_rate.py
"Three knobs at once: bias size, N, threshold","Small bias hidden in small experiment looks like a fair coin. Most of real life lives in the middle of the chart.","Loop D Hunch: 'how often will I be fooled' depends on alpha, N, and the truth. Alpha controls false positives; N+truth control true positives.","SKIP: covered by play/rule_fooling_rate.py","SKIP: covered by play/rule_fooling_rate.py"
"Same machinery, different clothes",Drug trials, juries at beyond-reasonable-doubt, weather forecasts as belief curves, 95%-accurate tests with 1-in-1000 prevalence giving mostly false positives. Same shape in serious clothes.,"SKIP: real-world hook, story-only","SKIP: real-world hook, story-only","SKIP: real-world hook, story-only"
"Hand-off: how big a sample do I need?","For a 1pp lift, how many tosses? Rule has a threshold for false alarms but not for catching real things. Where does that come from?","Big question opening Ch 3: power. Given an effect worth catching, how do we plan N so the test actually catches it?","SKIP: hand-off paragraph","SKIP: hand-off paragraph"
