Topic,Story (story.md),Technical (chapter.md),Code,Play
"Carry-over: the rule catches unfair but cannot certify fair","Opens by restating the Ch 2 surprise-zone rule and its blind spot: 52% bias is nearly invisible at N=100. The rule's strength depends on how much data you have.","Carried-from-Ch 2: rejection rule catches large biases, misses small ones. Now plan N to catch a specific bias.","SKIP: framing row, no artifact","SKIP: framing row, no artifact"
"Real institutions set N on purpose","Drug trials (3000 vs 40 patients), polls (1000 calls, +/-3pp margin), A/B tests (millions of users for 0.25pp lift). Each pre-computes a target N.","Hunch (Loop B): huge tech companies run huge trials because their effects are tiny. 0.5pp lift on 5% baseline is real money.","SKIP: real-world hook, no artifact","SKIP: real-world hook, no artifact"
"Power = probability the rule fires when the bias is real","Picks bias=0.55, tosses 100, asks how often the surprise rule catches it. Answer ~17%, misses ~5 times out of 6.","Loop A Try/Observe: for p=0.55 vs null p=0.5, N=100 gives power ~17%, N=1000 gives 88%, N=10000 essentially 1. Vocabulary: power = 1 - beta.",generate.render_power_curves (effects [0.51,0.52,0.55,0.60,0.70]); story_generate.render_detection_grows_log (two-sided alpha=0.05),play/power_explorer.py
"Power curve at linear axis crushes the interesting region","Sweeps N from 10 to 5000 at bias=0.55. Climb bunches against the left edge. Image story/detection_grows_linear.png.",Not covered (pedagogical linear-first framing is story-only).,story_generate.render_detection_grows_linear,"SKIP: story-only pedagogical framing"
"Log-scale x-axis lets the small-N climb breathe","Same data, log x-axis. S-shaped curve, annotated: 100 tosses -> 17%, 780 tosses -> 80%, 2000 tosses -> essentially 100%. Image story/detection_grows_log.png.","Loop A Observe: power curves plotted on log-N axis with an 80% reference line. Image power_curves.png.",story_generate.render_detection_grows_log; generate.render_power_curves,"SKIP: covered by play/power_explorer.py"
"80% power is a convention, not a law","Willing to miss 1 in 5 if you catch the other 4. 95% used when missing is unacceptable, 50% when you just want better than chance.","Vocabulary (Loop A): 80% conventional, 95% if you cannot afford to miss. Asymmetry note: stricter alpha lowers power at fixed N.","SKIP: vocabulary note, no artifact","SKIP: vocabulary note, no artifact"
"Bigger effects need less data","Five curves overlaid: 0.7 climbs almost immediately, 0.51 barely reaches 80% even at N=100000. Image story/detection_at_different_biases.png. Grandmother-glasses analogy.","Loop A Probe: tiny bias p=0.51 only reaches power ~0.52 at N=10000; obvious bias p=0.70 at N=50 already decent.",story_generate.render_detection_at_different_biases (biases 0.51/0.52/0.55/0.60/0.70); generate.render_power_curves,"SKIP: covered by play/power_explorer.py"
"Required N, the inverse question","For each candidate bias, find the smallest N hitting 80% detection. Linear-y hockey stick. Image story/required_n_linear.png.","Loop B Try/Observe: invert Loop A. For each truth p, find smallest N at 80% and 95% power. Image required_n.png.",story_generate.render_required_n_linear; generate.render_required_n_table (80% and 95% power bars),play/sample_size_planner.py
"Log-y axis reveals the power-law structure","Same curve on log-y. Landmarks: bias 0.7 -> 50 tosses; 0.6 -> 200; 0.55 -> 780; 0.52 -> 5000; 0.51 -> 20000. Image story/required_n_log.png.","Loop B Observe: p=0.51 needs ~19600 tosses, p=0.52 needs ~4900, p=0.55 needs ~783, p=0.60 needs ~200, p=0.70 needs ~50.",story_generate.render_required_n_log (binary search at alpha=0.05); generate.render_required_n_table,"SKIP: covered by play/sample_size_planner.py"
"Required N scales like 1/effect^2","Halving the bias quadruples the required N. Tech companies need millions because their effects are tiny.","Loop B Formula sketch: n approx (z_{alpha/2}+z_beta)^2 sigma^2 / delta^2. At alpha=0.05, beta=0.2 the prefactor is ~7.85; for p0=0.5, delta=0.05 gives ~785 matching simulation.","SKIP: formula sketch, no separate code","SKIP: covered by play/sample_size_planner.py"
"Tech-company A/B math","5% baseline, 0.25pp lift needs ~24000 users; 0.125pp lift needs ~100000; 0.1pp lift needs several hundred thousand.",Loop B Hunch: why tech companies care about N.,"SKIP: applied numbers, no artifact","SKIP: covered by play/sample_size_planner.py"
"Small studies claiming small effects are suspect","A 40-patient 3-month study claiming a 5% improvement is, by this math, essentially incapable of detecting an effect that small. Either the effect was bigger or the result is a fluke.",Not covered (policy framing is story-only).,"SKIP: policy framing, story-only","SKIP: policy framing, story-only"
"Replication is not pooling","Run the 780-toss experiment 10 times at bias=0.55 across 1000 groups. Bars peak at 7/8/9 catches, but ~30 groups catch only 5, some catch all 10. Image story/replication_distribution.png. Pooling all 7800 tosses would hit ~100% detection.",Not covered (replication framing is story-only).,story_generate.render_replication_distribution (seed 424),play/replication_simulator.py
"Replication crisis and independence","Replication means independent attempts, not more data. Five independent labs each running a 40-patient study is stronger than one 200-patient study. Tobacco-funded labs are not independent witnesses.",Not covered.,"SKIP: philosophical aside, story-only","SKIP: philosophical aside, story-only"
"MDE: smallest catchable effect at fixed N","Three-panel progression: linear, x-log, both-log. Log-log is a straight line with slope: quadruple N, halve MDE. Image story/mde_progression.png. Landmarks: N=100 -> 11pp; N=1000 -> 3.5pp; N=10000 -> 1pp; N=100000 -> 0.33pp.","Loop C Try/Observe: N=100 detects ~12pp, N=1000 ~4pp, N=10000 ~1.3pp, N=100000 ~0.4pp (one-sided; two-sided slightly larger). Image mde_curve.png. Hunch: MDE and required-N are the same machinery, inverted.",story_generate.render_mde_progression; generate.render_mde_curve (80% and 95% power),play/mde_finder.py
"Three knobs linked: threshold, bias, target, N","Three-panel triptych, each fixes two knobs and varies a third. Loose alpha=10% crosses 80% at ~500 tosses, default 5% at ~780, strict 1% at ~1400. Image story/three_knobs.png.","Loop A Vocabulary note: asymmetry between alpha and power. Covered implicitly across Loops A-C.",story_generate.render_three_knobs_annotated,"SKIP: covered by play/power_explorer.py"
"No free lunch","Cannot have tight threshold, small bias, small N, and high power all at once. Pick three, the fourth is determined. Drug trials, polls, A/B tests live on this tradeoff.",Implicit across Loop B formula.,"SKIP: conceptual synthesis, no artifact","SKIP: covered by play/sample_size_planner.py"
"Bayesian stopping rule: stop when the posterior is narrow enough","Keep tossing until the 95% belief band is no wider than 4 points. For truth=0.55, this lands around 2400 tosses.","Loop D Try/Observe: 200 runs, target 95% CI width <= 0.04, truth=0.55. Median stop 2380 with stops in [2340, 2400]. Granularity is from checking every 20 tosses. Image bayes_stopping.png.",generate.render_bayesian_stopping (seed 42),"SKIP: covered by play/freq_vs_bayes.py"
