Topic,Story (story.md),Technical (chapter.md),Code,Play
"Shift from one-coin to two-coin question","Opening: from 'is this coin fair?' to 'is this thing different from that thing?'. Two variants, two arms, count the difference.","Carried question from Ch 7: one population vs two variants. A/B testing as the workhorse.","SKIP: framing row","SKIP: framing row"
"Real-world stakes for two-arm comparisons","Pfizer COVID trial (43,448 enrolled, 8 vs 162 cases, stopped early). Booking.com runs ~1000 tests at once; Facebook/Google/Netflix run thousands. FDA/EMA require pre-committed two-arm protocols.",Not covered (story-only motivation).,"SKIP: real-world motivation, no code","SKIP: real-world motivation, no runner"
"Two-arm binary setup","Concrete scenario: old site 5%, new 6%. Run 1000 users per arm, count conversions. 60 vs 50 — real or noise?","Loop A Try: control 5%, treatment 6%, allocate N per arm. Compute two-proportion z-test and Bayesian posterior on diff with Beta(1,1) priors on each arm.",generate.render_two_arm_binary (seeds 80 small / 81 large); story_generate.render_two_arm_at_two_sizes (seed 8),play/ab_test_runner.py
"Same effect at two sample sizes","Two panels at N=1000 and N=10000. Left: p=0.31, P(new>old)=78%, 95% band crosses zero — don't know yet. Right: p<0.002, P>99.9% — effect is real. Image story/two_arm_at_two_sizes.png.","Loop A Observe: at N=1000 z=1.0 p=0.31, posterior 95% CI [-0.013,+0.025], P(diff>0)=0.78. At N=10000 z=3.2 p<0.002, P(diff>0)>0.999. Image two_arm_binary.png.",generate.render_two_arm_binary; story_generate.render_two_arm_at_two_sizes,"SKIP: covered by play/ab_test_runner.py at row 4"
"Pooled vs unpooled SE in the z-test","SKIP: technical aside, no story beat",Loop A Aside: two-proportion z uses pooled p_hat for testing H0:p1=p2; power calculators use unpooled SE under the alternative. Formulas will not match exactly. Forward-ref to power module reconciliation.,"SKIP: formula aside, no new figure","SKIP: formula aside, no runner"
"Sample-size threshold and power","Power math from earlier: 1pp lift on 5% baseline needs ~12,000 users per arm for 80% detection. First experiment was a tenth of that.",Loop A Hunch: below the sample-size threshold neither lens can speak; above it both speak in the same direction.,"SKIP: recalls Ch 7 power math, no new figure","SKIP: hunch synthesis, no runner"
"Continuous-outcome two-arm test","Revenue example: treatment lifts revenue per user by 50 cents on $10 baseline, sigma $4, 2000 per arm. Histograms heavily overlap; means barely apart but Welch t-test p=0.007. Image story/continuous_outcome.png.","Loop B Try/Observe: mu_c=10, mu_t=10.5, sigma=4, N=2000. Welch t: t=2.7, p=0.007. Use Welch (no equal-variance) because revenue arms have heavier tails. Image continuous_outcome.png.",generate.render_continuous_outcome (seed 82); story_generate.render_continuous_outcome (seed 80),play/revenue_ab_runner.py
"Bootstrap for skewed continuous metrics","One paragraph: bootstrap as alternative when t-test's normal-means assumption fails. Introduced in late 1970s for skewed-data, now standard.","Loop B Observe: 4000 percentile-method bootstrap resamples of mean diff, 95% CI [0.13, 0.86]. BCa available in expkit.inference.bootstrap for skewed metrics.",generate.render_continuous_outcome (uses expkit.inference.bootstrap.bootstrap_diff_ci),play/revenue_ab_runner.py
"Continuous outcome doesn't break the framework","Lesson: with enough data, small mean differences detect against large per-user noise. One-over-effect-squared still rules. Procedure differs (binomial / t / bootstrap), framework does not.","Loop B Hunch: bootstrap is non-parametric and lazy in the best way. Bayesian counterpart is a PyMC normal model on the two means — same shape of inference.","SKIP: hunch synthesis, no new figure","SKIP: hunch synthesis, no runner"
"Heterogeneous segments setup","Product has 200 power users (30% baseline) and 1800 casuals (5% baseline). Treatment lifts both by 2pp. Same absolute lift; very different relative lifts.","Loop C Try: two strata — power-users (200, 30% baseline) and casuals (1800, 5%). Treatment lifts each by 2pp. Compute per-segment z-tests and pooled z-test.",generate.render_stratified_vs_pooled (seed 83); uses expkit.sim.abtest.stratified_binary,play/stratified_runner.py
"Pooled vs per-segment results","Pooled test dominated by casuals (9x more). Power-user test on 200 per arm has no power for 2pp on 30% baseline. Casual test on 1800 per arm is marginal.","Loop C Observe: power-users (N=400 total) diff~+0.02, p~0.40. Casuals (N=3600) diff~+0.02, p~0.05. Pooled (N=4000) tracks casual effect; power-user lift washes out. Image stratified_vs_pooled.png.",generate.render_stratified_vs_pooled,play/stratified_runner.py
"Pooled vs per-segment ask different questions","Pooled asks 'is the average effect different from zero, integrated across segments?'. Per-segment asks 'is the effect nonzero in each segment?'. Neither wrong; they answer different questions.","SKIP: interpretation of row 12, no new experiment","SKIP: interpretation, covered by row 12 code",play/stratified_runner.py
